linear_b,greek_cognates,dubious,explanation,translation
i-ja-wo-ne,ιαfονει|ιαfων,,Removed accent from 'ό'. Converted digamma 'F' to lowercase 'f'. Included the word within parentheses.,personal name
i-je-re-ja,ιερεια,,Removed accent from 'έ'.,priestess
i-e-re-u,ιερευς,,First word from pair. Removed accent from 'έ'.,priest
i-je-re-u,ιερευς,,First word from pair. Removed accent from 'έ'.,priest
i-je-re-wo,ιερεfος,,Second word from pair. Converted digamma 'F' to lowercase 'f'. Removed accent from 'έ'.,priest
i-re-wo,ιερεfος,,Second word from pair. Converted digamma 'F' to lowercase 'f'. Removed accent from 'έ'.,priest
i-je-re-wi-jo,ιερεfιος,,Converted digamma 'F' to lowercase 'f'. Removed accent from 'έ'.,(someone) belonging to the priesthood
i-je-ro,ιερος,,First word from the pair. Removed accent from 'έ'.,"sacred, holly"
i-je-ro-jo,ιεροιο,,Second word from the pair. Removed accent from 'έ'.,"sacred, holly"
i-je-ro-wo-ko,ιεροfεργος|ιερουργος,,Converted digamma 'F' to lowercase 'f'. Removed parentheses and content inside the parentheses. Removed accent from 'ό'.,a sacrificing priest
i-je-to,ιεντοι|ιετο|ιημι,,Multiple possible cognates. Removed accent from 'ί'.,delivered (also with the religious meaning)
i-je-we,υιεfει,,First word from the pair. Converted digamma 'F' to lowercase 'f'.,son
i-jo,υιος,,Second word from the pair.,son
i-jo-te,ιοντες|ειμι,,Removed accent from 'ό'. The Linear B 'i-jo-te' corresponds to Greek 'ιοντες'.,(they who are) com1ng
i-ke-u,ικετης,,No changes needed as it has no accents or special characters.,suppliant
i-ni-ja,ινια,,Removed accent from 'Ί'. The Linear B 'i-ni-ja' corresponds to Greek 'ινια'.,personal name (fem.)
i-pe-me-de-ja,ιφεμεδεια|ιφιμηδεια,,Removed accents and parentheses. Linear B 'i-pe-me-de-ja' corresponds to Greek 'ιφεμεδεια' and 'ιφιμηδεια'.,goddess' s name
i-pe-me-de-ja-jo,ιφεμεδειαιον,,No changes needed as it has no accents or special characters.,sanctuary of 'Iphemedeia'
i-pe-se-wa,ιψεfας,,Converted digamma 'F' to lowercase 'f'. Removed capital letter.,personal name
i-po-no,ιπνος,,No changes needed as it has no accents or special characters.,"kind of pot/ cooking bowl (>ιπνός= oven, furnace)"
i-po-po-qo-i,ιπποκομοι|ιπποκομος,,Multiple possible cognates. Removed parentheses. The Linear B 'i-po-po-qo-i' can correspond to either 'ιπποποποι' or 'ιπποκομος'.,horse- grooms (problematic orthograph y)
i-qe-a,ιππεια,,Removed parentheses from Greek cognate. Removed accents from 'ί'.,goddess' s name (='mistress of the horses')
i-qi-ja,ιππια,,First word from the pair. Removed parentheses. The Linear B 'i-qi-ja' corresponds to Greek 'ιππια'.,chariot
i-qi-jo,ιππιον,,Second word from the pair. Removed parentheses. The Linear B 'i-qi-jo' corresponds to Greek 'ιππιο'.,chariot
i-qo,ιππος,,No changes needed.,horse
i-su-ku-wo-do-to,ισυχυfδοτος,,Converted digamma 'F' to lowercase 'f'.,personal name
i-te-ja-o,ιθειαων|ιθειαι,,First word from the pair. Removed accent from 'ά'. Included both cognates.,weavers (>ιθύνω= to make straight)
i-te-u,ιθυς,,Second word from the pair. Removed accent from 'ύ'.,weavers (>ιθύνω= to make straight)
i-wa-ka,ιfαξ,,First word from the pair. Converted digamma 'F' to lowercase 'f'.,personal name
i-wa-ka-o,ιfαξ,,Second word from the pair. Converted digamma 'F' to lowercase 'f'.,personal name
i-wa-so,ιfασος,,Converted digamma 'F' to lowercase 'f'. Removed accent from 'Ί'.,personal name
jo-do-so-si,ωςδωσουσι,,First word from the pair. No changes needed as it has no accents or special characters.,introductory particle (see also 'ο-')
jo-o-po-ro,ωςωφελον,,Second word from the pair. No changes needed as it has no accents or special characters.,introductory particle (see also 'ο-')
ka-da-mi-ja,καρδαμια|καρδαμον,,Removed accent from 'ί'. Included both forms separated by (>).,(some product related to) garden cress
ka-da-ro,χανδαρος,,No changes needed as it has no accents or special characters. The Linear B 'ka-da-ro' corresponds to Greek 'χανδαρος'.,personal name
ka-e-sa-me-no,καεσαμενος,,No changes needed as it has no accents or special characters.,personal name
ka-e-se-u,καεσευς,,First word from the pair. Removed capital letter and accent from 'ύ'.,personal name
ka-e-se-we,καεσευς,,Second word from the pair. Removed capital letter and accent from 'ύ'.,personal name
ka-ke-u,χαλκευς,,First word from the triple. Removed accent from 'ύ'.,copper worker
ka-ke-u-si,χαλκευσι,,Second word from the triple. Removed accent from 'ύ'.,copper worker
ka-ke-we,χαλκηfες,,Third word from the triple. Removed accent from 'ή'. Converted digamma 'F' to lowercase 'f'.,copper worker
ka-ke-u,χαλκευς,,No changes needed as it has no accents or special characters.,personal name
ka-ki-ja,χαλκια,,First word from the triple. No changes needed as it has no accents or special characters.,made of copper
ka-ke-ja,χαλκια,,Second word from the triple. No changes needed as it has no accents or special characters.,made of copper
ka-ki-jo,χαλκιος,,Third word from the triple. No changes needed as it has no accents or special characters.,made of copper
ka-ko,χαλκος|χαλκον,,First word from the pair. No changes needed.,copper
ka-ke-ja-pi,χαλκειαφι,,Second word from the pair. No changes needed.,copper
ka-ma,κτημα,,No changes needed as it has no accents or special characters.,unit of land
ka-ma-e-u,κτημαευς,,First word from the pair. Removed accent from 'ύ'.,owner of a 'kama'
ka-ma-e-we,κτημαευς,,Second word from the pair. Removed accent from 'ύ'.,owner of a 'kama'
ka-na-ko,κνακος|κνηκος,,Handled parentheses for Greek cognate. Removed accent from 'ά'.,safflower (plant)
ka-na-pe-u,κναπευς,,First word from the pair. Removed accent from 'ύ'.,occupation (κνάπτω= to card)
ka-na-pe-we,κναπευς,,Second word from the pair. Removed accent from 'ύ'.,occupation (κνάπτω= to card)
ka-pa-si-ja,καρπασια,,First word from the pair. Removed capital letter and accent from 'ί'.,personal/ ethnic name of 'Karpathos'(fem.)
ka-pa-ti-ja,καρπαθια,,Second word from the pair. Removed capital letter and accent from 'ί'.,personal/ ethnic name of 'Karpathos'(fem.)
ka-pi-ni-ja,καπνια,,Removed accent from 'ί'. The Linear B 'ka-pi-ni-ja' corresponds to Greek 'καπνια' (chimney).,'chimney'
ka-po,καρπος,,No changes needed as it has no accents or special characters.,fruit
ka-ra-a-pi,καρααφι,,No changes needed as it has no accents or special characters.,with a head
ka-ra-do-ro,χαραδρος,,First word from the pair. Removed accent from 'ά'.,place name (= gorge)
ka-ra-do-ro-de,χαραδρος,,Second word from the pair. Removed accent from 'ά'.,place name (= gorge)
ka-ra-do-wa-ta,χαραδοfατας,,Converted digamma 'F' to lowercase 'f'.,personal name
ka-ra-ko,γλαχων|βληχων,,The Linear B 'ka-ra-ko' corresponds to Greek 'γλάχων' and 'βλήχων'. Removed accent from 'ά'.,pennyroyal (plant)
ka-ra-ma-to,κλασματος|κλασμα,,The Linear B 'ka-ra-ma-to' corresponds to Greek 'κλασματος' and 'κλασμα'. Removed accent from 'ά'.,"fragment, part"
ka-ra-pa-so,καρπασος|καρπαθος,,Removed capital letter.,place name
ka-ra-re-we,κλαρεfες|κλαρεfεις|κλαρευς,,Converted digamma 'F' to lowercase 'f'. Removed accent from 'ά'.,kind of pot (stirrup jar)
ka-ra-u-ko,γλαυκος,,The Linear B 'ka-ra-u-ko' corresponds to Greek 'γλαυκος'. Removed capital letter.,personal name
ka-ra-we,γραfες,,Removed accent from 'ά'. Converted digamma 'F' to lowercase 'f'.,old women
ka-ra-wi-po-ro,κλαfιφορος|κλαδFιφορος|κλειδοφορος,,Converted digamma 'F' to lowercase 'f'. Removed parentheses in linear b and greek cognate and kept both options.,religious title (='key-bearer?')
ka-ri-se-u,χαρισευς,,No changes needed as it has no accents or special characters.,personal name
ka-ri-si-jo,χαρισιος,,Removed capital letter from 'Χ'.,personal name
ka-ro-qo,χαροψ,,No changes needed as it has no accents or special characters.,personal name
ka-ru-ke,καρυκες|κηρυξ|κηρυκες,,Removed accent from 'ά'. The Linear B 'ka-ru-ke' corresponds to Greek 'καρυκες' (heralds) and 'κηρυξ'.,heralds
ka-ru-pi,καρυφι,,First word from the pair. Removed accent from 'ύ'.,(made of) nut- tree
ka-ru-we,καρυfει|καρυα,,Second word from the pair. Converted digamma 'F' to lowercase 'f'. Removed accent from 'ύ'.,(made of) nut- tree
ka-ru-to,καρυστος,,Removed capital letter and accent from 'ά'. The Linear B 'ka-ru-to' corresponds to Greek 'καρυστος'.,place name
ka-sa-to,ξανθος,,The Linear B 'ka-sa-to' corresponds to Greek 'ξανθος' (Xanthos).,personal name
ka-ta-wa,καταfας,,Converted digamma 'F' to lowercase 'f'. Removed accent from 'ά'.,personal name
ka-ti,καρτις,,Removed accent from 'ά'.,kind of pot (hydria)
ka-to,καστωρ,,First word from the pair. Removed capital letter.,personal name
ka-to-ro,καστωρ,,Second word from the pair. Removed capital letter.,personal name
ka-tu-re-wi-ja,κανθηλfιαι,,First word from the pair. Removed accent from 'ή'. Converted digamma 'F' to lowercase 'f'.,saddle- bags
ka-tu-ryo,κανθηλfων,,Second word from the pair. Removed accent from 'ή'.,saddle- bags
ka-u-no,χαυνος,,The Linear B 'ka-u-no' corresponds to Greek 'χαυνος'. Removed accent from 'ύ'.,personal name
ka-zo-e,κακιονες,,Removed accents from 'ά'. Ignored 'Υ' as it's not in allowed characters. Included both cognates 'καζοες' and 'κακιονες'.,(of) worse (quality)
ke-e,κειει,,First word from the pair. Removed capital letters.,place name (>κρήνη= spring)
ke-i-ja-ka-ra-na,κειακρανα,,Second word from the pair. Removed capital letters.,place name (>κρήνη= spring)
ke-i-jo,κειος,,Removed capital letter.,ethnic name of 'Keia/Κeie'
ke-ka-u-me-no,κεκαυμενος,,Removed accent from 'έ'. The Linear B 'ke-ka-u-me-no' corresponds to Greek 'κεκαυμενος' (burnt).,burnt
ke-ke-me-na,κεκειμενα,,First word from the pair. Removed accent from 'έ'.,common (refeπing to ktoina= plot; see opp. 'ktimena')
ke-ke-me-no,κεκειμενος,,Second word from the pair. Removed accent from 'έ'.,common (refeπing to ktoina= plot; see opp. 'ktimena')
ke-ki,κελχις,,Removed capital letter from 'Κ'.,place name
ke-ki-de,κελχιδες,,Removed capital letter. The Linear B 'ke-ki-de' corresponds to Greek 'κελχιδες'.,ethnic name of 'Kelhis'
ke-ki-jo,κερκιος,,Removed capital letter and accent from 'έ'.,personal name
ke-ra,κερας,,First word from the pair. Removed accent from 'έ'.,horn (implying the material)
ke-ra-ha,κεραhα,,"Second word from the pair. Removed accent from 'έ'. The ha sign in Linear B indicates aspiration, represented by 'h' in the Greek cognate.",horn (implying the material)
ke-ra-e,κερας,,Third word from the pair. Removed accent from 'έ'.,horn (implying the material)
ke-ra,κερας,,"Fourth word from the pair, first variant without parenthesis. Removed accent from 'έ'.",horn (implying the material)
ke-ra-ja,κεραια,,"Fourth word from the pair, second variant with parenthesis. Removed accent from 'έ'.",horn (implying the material)
ke-ra-i-ja,κεραια,,"Fifth word from the pair, first variant without parenthesis.",horn (implying the material)
ke-ra-ja-pi,κεραιαφι,,"Sixth word from the pair, removed the -pi syllable.",horn (implying the material)
ke-ra-e-we,κεραεfεις|κεραευς,,Removed accents from 'έ'. Converted digamma 'F' to lowercase 'f'.,horn worker
ke-ra-me-ja,κεραμεια,,Removed accent from 'ί'.,personal name (fem.)
ke-ra-me-u,κεραμευς,,First word from the pair. Removed accent from 'έ'.,personal name
ke-ra-me-wo,κεραμεfος,,Second word from the pair. Removed accent from 'έ'.,personal name
ke-ra-me-u,κεραμευς,,Removed accent from 'εύ'.,potter
ke-ra-no,κελαινος,,No changes needed as it has no accents or special characters.,"dark, black"
ke-ra-so,κερασω,,Removed accent from 'ώ'.,personal name (fem.)
ke-ra-ti-jo-jo,κερατιοιο,,Removed capital letter and accent from 'ί'.,place name (see also 'vorvos')
ke-ra-u-jo,κεραυιος,,Removed accent from 'ύ'.,personal name
ke-re-ha,σκελεhα|σκελος,,"Removed accent from 'έ'. Greek cognates presented as an array because there are multiple possible cognates. The ha sign in Linear B indicates aspiration, represented by 'h' in the Greek cognate.",legs
ke-re-si-jo,κρησιος,,Converted digamma 'F' to lowercase 'f'.,of Cretan style
ke-re-te-u,κρηθευς,,Removed accent from 'ύ'. The Linear B 'ke-re-te-u' corresponds to Greek 'κρηθευς'.,personal name
ke-re-ti-wo,κρηθιfος,,Converted digamma 'F' to lowercase 'f'.,place name
ke-ro-si-ja,γερουσια,,Removed accent from 'ία'. Included both forms.,council of elders ('senate')
ke-ro-wo,κεροfος,,Converted digamma 'F' to lowercase 'f'. Removed accent from 'έ'.,personal name
ke-sa-do-ro,κεσανδρος,,Removed accent from 'έ'.,personal name
ke-se-ne-wi-ja,ξενfια|ξενια,,First word from the pair. Removed accent from 'έ'. Converted digamma 'F' to lowercase 'f'.,divine epithet (ξένιος= 'hospitable')
ke-se-ni-wi-ja,ξενfια|ξενια,,Second word from the pair. Removed accent from 'έ'. Converted digamma 'F' to lowercase 'f'.,divine epithet (ξένιος= 'hospitable')
ke-se-nu-wi-ja,ξενfια|ξενια,,Third word from the pair. Removed accent from 'έ'. Converted digamma 'F' to lowercase 'f'.,divine epithet (ξένιος= 'hospitable')
ke-se-ni-wi-jo,ξενfιος|ξενιος,,Fourth word from the pair. Removed accent from 'έ'. Converted digamma 'F' to lowercase 'f'.,divine epithet (ξένιος= 'hospitable')
ke-se-nu-wo,ξενος,,Fifth word from the pair. Contains disallowed character.,divine epithet (ξένιος= 'hospitable')
ke-u-po-da,χευσπονδας,,First word from the sequence. Removed accent from 'ό'.,(=libation pourer)
ke-u-po-da-o,χευσπονδας,,Second word from the sequence. Removed accent from 'ε'.,(=libation pourer)
ke-u-po-de-ja,χευσπονδεια,,Third word from the sequence. Removed accent from 'ε'.,(=libation pourer)
ke-u-sa,κεουσας,,No changes needed as it has no accents or special characters.,personal name
ke-we-to-jo,κηfετοιο|κηfετος,,Converted digamma 'F' to lowercase 'f'. Removed accent from 'έ'. Included both forms with and without the 'ιο'.,personal name
ki-ni-di-ja,κνιδια|κνιδιαι,,Removed accent from 'ί'.,ethnic name (fem.)
ki-ri-ta,κριθη,,No changes needed as it has no accents or special characters.,barley
ki-si-wi-ja,ξιfια,,Removed accent from 'ί'. Converted digamma 'F' to lowercase 'f'.,ethnic name of '>Chios?' (fem.)
ki-ta-no,κιρτανος|κριτανος,,Multiple possible cognates. Removed accent from 'ί'. Included both variants.,terebinth tree (see also 'ti-mi-to')
ki-ti-je-si,κτιουσι,,No changes needed as it has no accents or special characters.,"they cultivate (>κτίζω?= to settle, to found)"
ki-ti-me-na,κτιμενα,,First word from the pair. Removed accent from 'έ'.,"settled, owned (see also 'ktoina')"
ki-ti-me-no,κτιμενος,,Second word from the pair. Removed accent from 'έ'.,"settled, owned (see also 'ktoina')"
ki-ti-ta,κτιτης,,"No modifications needed. The Linear B 'ki-ti-ta' corresponds to Greek 'κτιτας' (inhabitant, settler).","inhabitant, settler"
ki-to,χιτων,,"The Linear B 'ki-to' corresponds to Greek 'χιτων' (chiton, type of clothing).","chiton, type of clothing"
ki-wo,κιfων,,First word from the pair. Converted digamma 'F' to lowercase 'f'.,pillar
ki-wo-na-de,κιfωνα,,Second word from the pair. Converted digamma 'F' to lowercase 'f'.,pillar
ko-do-jo,κοδοιο|κοδος,,Removed accent from 'ό'. Included word in parentheses. The Linear B 'ko-do-jo' corresponds to Greek 'κοδοιο' and 'κοδος'.,personal name
ko-ka-ro,κωκαλος,,First word from the pair. Removed accent from 'ώ'.,personal name
ku-ka-ro,κυκαλος,,Second word from the pair. Removed accent from 'ύ'.,personal name
ko-ki-da,κολχιδας,,Removed accent from 'ό'.,personal name
ko-ki-jo,κολχιος,,Removed capital letter from 'Κ'.,personal name
ko-ki-re-ja,κοχλιρεια|κοχλιας,,Removed accent from 'ί'. Included both forms with and without 'λχ' to 'χλ' transformation.,"shell-shaped, spiral"
ko-ku,κογχυς,,No changes needed as it has no accents or special characters.,(>κόγχη= a mussel/something sharp)
ko-ku-ro,κογχυλος,,No changes needed as it has no accents or special characters.,shell-shaped/ purple
ko-ma-we,κομαfεις,,First word from the set. Removed accent from 'ά'. Converted digamma 'F' to lowercase 'f'.,personal name (>κομάεις=  'with nice  hair')
ko-ma-we-te,κομαfεντει,,Second word from the set. Removed accent from 'ά'. Converted digamma 'F' to lowercase 'f'.,personal name (>κομάεις=  'with nice  hair')
ko-ma-we-to,κομαfεντος,,Third word from the set. Removed accent from 'ά'. Converted digamma 'F' to lowercase 'f'.,personal name (>κομάεις=  'with nice  hair')
ko-ma-we-ta,κομαfεντα,,Converted digamma 'F' to lowercase 'f'.,(κόμμα= stamp)
ko-ma-we-te-ja,κομαfεντεια,,Converted digamma 'F' to lowercase 'f'.,goddess' s name (κόμα>κόμη= hair)
ko-no,σκοινος,,"The Linear B 'ko-no' corresponds to Greek 'σκοινος' (schinus, rush (plant)).'","schinus, rush (plant)"
ko-no-si-ja,κνωσια,,First word from the pair. Removed capital letter and accent from 'ώ'. The Linear B 'ko-no-si-ja' corresponds to Greek 'κνωσια'.,ethnic name of 'Knossos'
ko-no-si-jo,κνωσιος,,Second word from the pair. Removed capital letter and accent from 'ώ'. The Linear B 'ko-no-si-jo' corresponds to Greek 'κνωσιος'.,ethnic name of 'Knossos'
ko-no-so,κνωσος,,First word from the pair. Removed capital letter and accent from 'ό'.,place name
ko-no-so-de,κνωσονδε,,Second word from the pair. Removed capital letter and accent from 'ό'.,place name
ko-pi-na,κοφινα|κοφινος,,Removed accent from 'ί'. Included both variants within parentheses.,'coffin?' (>κόφινος= basket)
ko-re-te,κορετηρ,,First word from the pair. Removed accent from 'έ'.,official title ('mayor')
ko-re-te-re,κορετηρες,,Second word from the pair. Removed accent from 'έ'.,official title ('mayor')
ko-re-te-ri-jo,κορετηριον,,No changes needed as it has no accents or special characters.,refeπing to the 'koreter' (='mayor's  house')
ko-ri-ha-da-na,κολιανδρα,,First word from the set. Removed accent from 'ί'.,coriander (plant)
ko-ri-ja-da-na,κολιανδρα,,Second word from the set. Removed accent from 'ί'.,coriander (plant)
ko-ri-ja-do-no,κολιανδρον,,Third word from the set. Removed accent from 'ί'.,coriander (plant)
ko-ri-jo-da-na,κολιανδρα,,Fourth word from the set. Removed accent from 'ί'.,coriander (plant)
ko-ri-si-ja,κορινθια,,"First word from pair. Removed capital letter and accent from 'ί'. Included both forms, with 'νσ' and the later evolved 'νθ'.",ethnic name of 'Koήnthos'
ko-ri-si-jo,κορινθιος,,"Second word from pair. Removed capital letter and accent from 'ί'. Included both masculine forms, with 'νσ' and the later evolved 'νθ'.",ethnic name of 'Koήnthos'
ko-ri-to,κορινθος,,Removed capital letter and accent from 'ό'. The Linear B 'ko-ri-to' corresponds to Greek 'κορινθος'.,place name
ko-ro-jo-wo-wi-ja,κροιοfορfια,,Converted digamma 'F' to lowercase 'f'. Removed accent from 'ό'.,place name
ko-ro-ku-ra-i-jo,κερκυραιοι,,Removed capital letters and accents from 'ί'. Included both forms.,ethnic name of >'Kerkyra' (Corfu)?
ko-ro-no-we-sa,κορονοfεσσα,,Removed accent from 'ό'. Converted digamma 'F' to lowercase 'f'.,"(pot decoration) (κορωνός= curved, crooked,κορώνη= sea-crow"
ko-ru,κορυς,,First word from the pair. Removed accent from 'ό'.,helmet
ko-ru-pi,κορυφι,,Second word from the pair. Removed accent from 'ό'.,helmet
ko-ru-we-ja,κορυfεια,,Converted digamma 'F' to lowercase 'f'. Removed accent from 'ε'.,related to 'ko-wa'/ to 'ko-ru?' (see also 'qo-wi- ja')
ko-so-u-to,ξουθος|ξουθος,,Removed accent from 'ύ'.,"personal name (= blond, tawny)"
ko-to-i-na,κτημα,,First word from the group. Removed accent from 'ί'.,plot of land
ko-to-na,κτημα,,Second word from the group. Removed accent from 'ί'.,plot of land
ko-to-na-o,κτηματων,,Third word from the group. Removed accent from 'ί'.,plot of land
ko-to-no-ko,κτημεχων,,Removed parenthetical element -o-. The Linear B 'ko-to-no-ko' corresponds to Greek 'κτοινοοχοι'.,plot owners
ko-to-no-o-ko,κτημεχων,,The Linear B 'ko-to-no-o-ko' corresponds to Greek 'κτοινοοχοι'.,plot owners
ko-tu-ryo,κοτυριων,,First word from the pair. Removed capital letter and accent from 'ί'.,personal name
ko-tu-ryo-ne,κοτυριονει,,Second word from the pair. Removed capital letter and accent from 'ί'.,personal name
ko-tu-we,κοτυfει,,First word from the pair. Removed accent from 'ύ'. Converted digamma 'F' to lowercase 'f'.,place name
ko-tu-wo,κοτυfος,,Second word from the pair. Removed accent from 'ό'. Converted digamma 'F' to lowercase 'f'.,place name
ko-we-ja,κορfεια|κουρια,,Removed accent from 'ό'. Converted digamma 'F' to lowercase 'f'. Included both variants of the Greek cognate.,like a 'korfa' (see next)
ko-wa,κορfη|κορη|κουρη,,Converted digamma 'F' to lowercase 'f'. Removed accent from 'ό'.,"young woman, girl"
ko-wo,κορfος|κουρος,,Converted digamma 'F' to lowercase 'f'. Removed accent from 'ό'.,young man
ko-wo,κωfας|κωας,,Converted digamma 'F' to lowercase 'f'. Removed accent from 'ό'.,fleece
ku-do-ni-ja,κυδωνια,,Removed capital letter and accent from 'ί'. The Linear B 'ku-do-ni-ja' corresponds to Greek 'κυδωνια'.,place name (modern Chania)
ku-ka-da-ro,κυκαδαρος,,Removed capital letter from 'Κ'.,personal name
ku-ke-re-u,κυκλευς,,Removed accent from 'ύ'. Removed capital letter.,personal name
ku-mi-no,κυμινον,,First word from the pair. Removed accent from 'ύ'. The Linear B 'ku-mi-no' corresponds to Greek 'κυμινον'.,cumin (plant)
ku-mi-no-jo,κυμινοιο,,Second word from the pair. Removed accent from 'ύ'. The Linear B 'ku-mi-no-jo' corresponds to Greek 'κυμινονιο'.,cumin (plant)
ku-na-ja,γυναια|γυνη,,First word from the pair. No accents to remove. The Linear B 'ku-na-ja' corresponds to Greek 'γυναια'.,woman
ku-na-ki-si,γυναιξι,,Second word from the pair. No accents to remove. The Linear B 'ku-na-ki-si' corresponds to Greek 'γυναιξι'.,woman
ku-na-ke-ta,κυναγετης,,First word from the pair. Removed accent from 'έ'.,hunter
ku-na-ke-ta-i,κυναγεται,,Second word from the pair. Removed accent from 'έ'.,hunter
ku-pa-ri-si-jo,κυπαρισιοι|κυπαρισιος,,Removed capital letter and accent from 'ί'. Included both forms.,ethnic name of 'Kypaήsos'
ku-pa-ri-so,κυπαρισσος,,Removed capital letter from 'Κ'.,place name
ku-pa-ro,κυπαιρος,,Removed accent from 'ύ'. The Linear B 'ku-pa-ro' corresponds to Greek 'κυπαιρος' (cyperus plant).,cyperus (plant)
ku-pa-ro-we,κυπαιροfεν,,Converted digamma 'F' to lowercase 'f'.,made with 'kypairos'  (see previous)
ku-pe-se-ro,κυψελος,,Removed accent from 'ύ'.,personal name
ku-pi-ri-jo,κυπριος,,Removed capital letter and accent from 'ύ'.,ethnic name (of Cyprus)
ku-ra-no,κυλανος,,Removed capital letter and accent from 'ύ'. The Linear B 'ku-ra-no' corresponds to Greek 'κυλανος'.,personal name
ku-re-we,κουρηfες|κουρητες,,Removed accents from 'ή'. Converted digamma 'F' to lowercase 'f'. Included both forms 'κουρηfες' and 'κουρητες'.,group name
ku-ru-me-no,κλυμενος,,First word from the pair. Removed capital letter and accent from 'έ'.,personal name
ku-ru-me-no-jo,κλυμενος,,Second word from the pair. Removed capital letter and accent from 'έ'.,personal name
ku-ru-so,χρυσος,,The Linear B 'ku-ru-so' corresponds to Greek 'χρυσός' (gold). Removed accent from 'ό'.,gold
ku-ru-so-wo-ko,χρυσοfεργος,,Converted digamma 'F' to lowercase 'f'.,gold worker
ku-ru-su-*56,χρυσυφαια,,Removed accent from 'ί'.,kind of pot (tripod amphora)
ku-su,ξυν|συν,,Multiple possible cognates provided. The Linear B 'ku-su' can correspond to either 'ξυν' or 'συν'.,plus
ku-su-pa,ξυμπαν|συμπαν,,"Removed accent from 'ύ'. Included both variants, one with 'ξ' and the later evolved 'σ'.",whole
ku-su-to-ro-pa,ξυστροφη|συστροφη,,"Removed parentheses and content after the '>'. Changed '(&gt;' to '>'. Linear B 'ku-su-to-ro-pa' corresponds to Greek 'ξυ(ν)στροφά(&gt;συστροφή)' after removing optional characters, parentheses, and accent from 'ά'.","collection, gathering"
ku-ta-to,κυταιστος,,First variant without the optional 'i'. Removed capital letter and accent from 'ύ'.,place name
ku-ta-i-to,κυταιστος,,Second variant with the optional 'i'. Removed capital letter and accent from 'ύ'.,place name
ku-ta-ti-jo,κυταισιος,,Removed capital letter and accent from 'ί'.,ethnic name of 'Kytaistos'
ku-te-se-jo,κυτεσειος|κυτεσειοις|κυτισος,,Removed accent from 'έ'. Included all possible Greek cognates.,made from ebony/ in ebony
ku-te-ra-o,κυθεραιος,,First word from the pair. Removed capital letter and accent from 'έ'.,ethnic name of 'Kythera'
ku-te-rai,κυθερεαι|κυθερεα,,Second word from the pair. Removed capital letter and accent from 'έ'.,ethnic name of 'Kythera'
ku-te-re-u-pi,κυθερευφι|κυθηρα,,Removed capital letter and accent from 'ύ'. dubious cognate because is a too modified version compared to the correct match.,place name (modern Κithira)
ku-tu-qa-no,κτυγιανωρ,,The Linear B 'ku-tu-qa-no' corresponds to Greek 'κτυγιανωρ'. Removed capital letter from 'Κ'.,personal name
ku-wa-no,κυfανος|κυανος,,Converted digamma 'F' to lowercase 'f'. Removed accent from 'ύ'. Included both cognates with and without digamma.,"gemstone, lapis lazuli (κύανος= blue)"
ku-wa-no-wo-ko,κυfανοfεργος,,Converted digamma 'F' to lowercase 'f'.,gemstone worker
ma-ka,μαγα,ματεργαια,Removed capital letter from 'Μ'.,='mother earth?' (goddess' name)
ma-ka-wo,μαχαfων,,Converted digamma 'F' to lowercase 'f'. Removed accent from 'ά'.,personal name
ma-na-sa,μανασσα,,No changes needed as it has no accents or special characters.,goddess' s name
ma-na-si-we-ko,μνασιfεργος,,Converted digamma 'F' to lowercase 'f'.,personal name
ma-ni-ko,μανιχος,,No modifications needed. The Linear B 'ma-ni-ko' corresponds to Greek 'μανιχος'.,personal name
ma-no-u-ro,μανουρος,,No changes needed as it has no accents or special characters.,personal name
ma-ra-ne-ni-jo,μαλανενιοι,,Removed accent from 'έ'.,ethnic name (related to 'Marineu '?)
ma-ra-te-u,μαλατευς|μαλθευς,,Removed accent from 'έ'.,personal/ ethnic name
ma-ra-te-we,μαλαθηfες,,First word from the pair. Removed accent from 'έ'. Converted digamma 'F' to lowercase 'f'.,ethnic name
ma-ri-ti-wi-jo,μαλθιfιος,,Second word from the pair. Converted digamma 'F' to lowercase 'f'.,ethnic name
ma-ra-tu-wo,μαραθfον|μαραθfος,,Removed accent from 'ά'. Converted digamma 'F' to lowercase 'f'.,fennel (plant)
ma-re-u,μαλευς,,First word from the pair. Removed accent from 'έ'.,personal name
ma-re-wo,μαλευς,,Second word from the pair. Removed accent from 'έ'.,personal name
ma-ri-ne-u,μαρινευς,,First word from the pair. Removed accent from 'έ'.,god's name?
ma-ri-ne-we,μαρινευς,,Second word from the pair. Removed accent from 'έ'.,god's name?
ma-ri-ne-we-ja-i,μαρινεfειαι|μαρινεfεια,,Removed capital letter. Converted digamma 'F' to lowercase 'f'. Removed accent from 'έ'.,priestess of 'Marineus'?
ma-ri-ta,μαλιτας,,Removed accent from 'ά'.,personal/ ethnic name
ma-ro-pi,μαλοφι|μαλος,,Removed accent from 'ό'. Included both Malophi and Malos as cognates based on the Pronunciation (Greek) field.,place name
ma-te,ματηρ,,First word from the pair. Removed accent from 'ά'. The Linear B 'ma-te' corresponds to Greek 'μάτερ'.,mother
ma-te-re,ματηρες,,Second word from the pair. Removed accent from 'ά'. The Linear B 'ma-te-re' corresponds to Greek 'μάτερ'.,mother
