Transliteration (Latin),Pronunciation (Greek),Pronunciation (English),Translation (English)
pa-sa,πάνσαν(πάνσα),pansan (pansa),all (fem.)
pa-sa-lo,ψάλον(>ψάλλιον),psalon (>psallion),"chain, part of the bridle"
pa-si,πάνσι/φασί(ν)(φαμi/φημί),Pansi/phasi(n) (phami/phemi),all (neut.)/they say
pa-si-te-o-i,πάνσιθεοίς,pansi theois,to all gods
pa-ta,Πάτας,Patas,personal name
pa-ta-ja/pa-ta-jo(-i),παλταιά(>παλτόν),paltaia (>palton),arrow
pa-te,πάντες(πας)/πάτερ,pantes (pas)/pater,all (masq.)/father
pa-te-ko-to,παντέκτων,pantekton,'all-builder'
pa-we-a/pa-we-o/pa-we-pi/pa-we-si/pa-wo,φάρFεα,pharvea,textiles
pa-wo-ke/pa-wo-ko,πάρFοργες;,parvorges?,ancillaries
pe-da,πεδά,peda,towards/after
pe-de-we-sa,πέδFεσσα,pedvessa,having legs
pe-di-ra/pe-di-ro(-i),πέδιλα,pedila,sandals
pe-i,σφεις,sfeis,them
pe-ko-to,πέκοτον;,pekoton?,kind of textile
pe-ma/pe-mo,σπέρμα/σπέρμον,sperma/ spermon,graιn
pe-ne-we-ta,πνέFεντα;,pnewenta?,type of cloth
pe-pi-te-me-no-jo,Πεπιθμένοιο(Πεπιθμένος),Pepithmenoio (Pepithmenos),personal name
pe-qa-to,πέκFατοι(*πέδFατοι;),pekvatoi (*pedvatoi?),part of a chariot (foot boards?)
pe-ra-a-ko-ra-i-ja/pe-ra-a-ko-ra-i-jo/pe-ra3-ko-ra-i-ja,Περαίαι-χωραίαι(=πέρα-χώρα),Peraiai-horaiai (= 'further provinces'),place name (see opp. 'devroaihoraiai')
pe-re,φέρει(ν),pherei(n),to bring
pe-re-ke-u/pe-re-ke-we,πελεκεύς,pelekeus,hewer (πέλεκυς= axe)
pe-re-qo-ta/pe-re-qo-ta-o/qe-re-qo-ta-o,Πρεσπότας,Prespotas,personal name
pe-re-u-ro-na-de,Πλευρώνανδε(Πλευρών),Pleuronande (Pleuron),place name
pe-re-u-ro-ni-jo,Πλευρώνιος,Pleuronios,ethnic name of 'Pleuron'
pe-re-sa2,Πρέσφα,Presfa,goddess' s name
pe-re-sa2-jo,Πρέσφαιον,Presfaion,sanctuary dedicated to 'Presfa'
pe-ri,περι,pen-,about/of
pe-ri-me-de,Περιμήδης,Perimedes,personal name
pe-ri-ta,Πελίτας,Pelitas,personal name
pe-ri-te-u,Περιτεύς,Periteus,personal name
pe-ri-to-wo,ΠερίθοFος,Perithovos,personal name
pe-ru-si-nu-wa/pe-ru-si-nu-wo/pe-ru-si-nwa/pe-ru-si-nwa-o,περυσινFά/περυσινυFό(>περυσινά/περυσινό),perysinwa/ perysιnwo (>perysina/ perysino),of last year
pe-se-ro,Ψελλός,Psellos,personal name
pe-ta-ro,Πέταλος,Petalos,personal name
pe-te-re-wa/pte-re-wa,πτελεFάς(>πτελέα),ptelewas (>ptelea),(made of) elm wood
pe-to-no/pe-to-no-de,Πετονός/Πέτνος,Petonos/Petnos,place name
pe-to-ni-jo,Πετόνιος/Πέτνιος,Petonios/ Petnios,ethnic name of Petonos/Petnos
pi-a2-ra/pi-je-ra3,φιhάλα(ι)/φιελαία(ι)(>φιάλη),phihala(i)/ phiailaia(i) (>phiale),kind of pot
pi-ke-re-u/pi-ke-re-we/pi-ke-re-wo,Πικερεύς,Pikereu s,personal name
pi-pi,Πίπης,Pipis,personal name
pi-ri-ja-o,φλιαίων(φλιαί),phliaion (phliai),doorposts
pi-ri-je-te/pi-ri-je-te-re/pi-ri-e-te-si,πριέτερ/πριέτερες/πριέτεσι,prieter/ prieteres/ prietesi,ivory worker (πρίω= to saw)
pi-ro-we-ko,ΦιλόFεργος,Philovergos,personal name
pi-sa2,Πίσφα/Πίσσια,Pispha/Pissia,place name
pi-sa-wa-ta,ΠισFάτας,Piswatas,personal name
pi-ta-ke-u,Πιτακεύς,Pitakeus,personal name
pi-ti-ro2-we-sa,πτιλιόFεσσα(>πτίλον),ptiliovessa (>ptilon),furnished with feathers? (πτίλον= feather)
po-da-ko,Πόδαργος,Podargos,personal/ animal name
po-de/po-pι,ποδεί/πόφι(>πους),podei/pophi (>pous),with legs
po-ki-ro-nu-ka,ποικιλώνυχα,poikilonyha (poikilos= various+onyhas= nail),kind of decoration (compare with 'leukonyha')
po-me/po-me-no/po-me-ne,ποιμήν/ποιμένος/ποιμένει,poimen/ poimenos/ p01mene 1,shepherd
po-ni-ke,φοινίκει,phoinikei,decorated with a griffin or palm trees
po-ni-ke-(j)a/po-ni-ki-ja/po-ni-ki-jo,φοινίκια/φοινίκιος,phoinikia/ phoinikios,cnmson
po-pu-re-ja,πορφυρεία,porphyreia,purple (fem.)
po-pu-ro2,Πορφυρίων,Porfyrion,personal name
po-qe-wi-a,φορεFιαί(>φορβειαί),phoreviai (>phorveiai),halters
po-re-na,φορήναι(>φέρομαι;),phorenai (>feromai?),attendees in sacrificial ceremonιes (φέρομαι=  to be brought)
po-ri-wo,ΠόλιFος,Polivos,personal name
po-ro,πώλος/πώρος,polos/Poros,young horse/porous stone (kind of marble)
po-ro-du-ma-te,προδύματες,prodymates,family groups? (see also 'dymates')
po-ro-e-ke,προεχής,proeheis,(table) fitting against the wall
po-ro-ko-re-te-re,προκορέτερες,prokoreteres,official title/ 'vice- mayors' (see also 'koreter')
po-ro-te-u,Πρωτεύς,Proteus,personal name
po-ro-u-te-u/po-ro-u-te-we/po-ro-u-te-wo,Πλουτεύς,Plouteus,personal name
po-ro-wi-to(-jo),ΠλωFιστοίο(ΠλώFιστος),Plovistoio (Plovistos),month name
po-ru-ka-to,Πολύκαστος,Polykastos,personal name
po-ru-po-de,πολυπόδει(πολύπους),polypodei (polypous),(decorated with an) octopus
po-ru-qo-ta,Πολυβότας,Polyvotas,personal name
po-se-da-o/po-se-da-o-ne/po-se-da-o-ni,Ποσειδάων/Ποσειδαόνει,Poseidaon/ Poseidaonei,god's  name (>Poseidon)
po-si,Ποσί,posι,up/on
po-si-da-e-ja,Ποσιδάεια,Posidaeia,goddess' s name
po-si-da-e-we,ΠοσιδάεFες,Posidaeves,cult association related to 'Poseidaon'
po-si-da-i-je-u/po-si-da-i-je-u-si,Ποσιδαϊγεύς,Posida'igeus,priest of 'Poseidaon'
po-si-da-i-jo/po-si-da-i-jo-de,Ποσιδαίον,Posidaion,place dedicated to 'Poseidaon'
po-si-ke-te-re,ποσικέτερες(>οικέτης;),posiketeres (>oiketes?),dweller/house servant ('immigrants?')
po-so-pe-re-i,Ψώφρει(Ψώφρης),Psophrei (Psophres),personal name
po-so-ra-ko,Ψώρακος,Psorakos,personal name
po-so-re-Ja,Ψωρεία,Psoreia,personal name (fem.)
po-so-ro,Ψώρος,Psoros,personal name
po-ti-ni-ja,Πότνια,potnia,goddess/ 'beloved one'
po-ti-ni-ja-we-ja/po-ti-ni-ja-we-(i-)jo/wi-jo,ποτνιάFεια/ποτνιάFειος,potniaveia/ potniaveios,person related/ dedicated to 'potnia'
po-ti-pi,Πόρτιφι(πόρτις),portiphi (portis),(decorated  with a) young cow
po-ti-ro,ποντiλοι,pontiloi,sailors
pu-ke-se-ro,Πυγέσερος/Πύξελος,Pygeseros/ Pyxelos,personal name
pu-ko-so,Πύξος,pyxos,box- wood
pu-ra-so,Πύρασος,Pyrasos,personal name
pu-ra-ta/pu-ra-ta-o,Πυράτας,Pyratas,personal name
pu-ra-u-to-ro,πύραυθρον,pyrauthron,"cooking vessel (>πύραστρον, πυράγρα= forceps)"
pu-ro,Πύλος,Pylos,place name
pu2-ke,Φύγης,Phyges,personal name
pu2-ke-qi-ri,Φυγεκλής;,Phygekles?,personal name
pu2-ra2-a-ke-re-u/pu2-ra2-a-ki-ri-jo,ΦυλίαςΑγρεύς,Phylias Agreus,place name (φυλία= wild olive)
pu2-si-ja-ko,Φυσίαρχος,Physiarhos,personal name
pu2-te/pu-te/pu2-te-re,Φύτερ,phyter,planter
pu2-te-ri-ja,Φυτέρια,phyteria,"planted, cultivated (related to 'ktoina'=  plots)"
pte-no,φτενοί,phtenoi,parts of a chariot (φτενός=    'thin')
qa-da-so,Κάδασος,Kadasos,personal name
qa-nu-wa-so,ΚαρνύFασος,Karnyvasos,personal name
qa-ra,Κ/άρα,Kwara,place name
qa-ra-i-so,Κrάραισος,Kwaraisos,personal name
qa-ra-to-ro,κrάλαθρον(>σπάλαθρον?),kwalathron (>spalathron?),rake
qa-si-re-u,κ/ασιλεύς(>βασιλεύς),kwasileus (>vasileus),title/occupation (latter the king)
qa-si-re-wi-ja,κ/ασιλέFια,kwasilevia,of the 'kvasileus' (fem.)
qe-qi-no-me-na/qe-qi-no-me-nο/qe-qi-no-to,γεγινωμένα/γεγινωμένος/γεγινωτός(>δινωτός),geginomena/ geginomenos/ geginotos (>dinotos),made by twisting
qe-ra-na,κέρνα/κεράνα;,kerna/kerana?,type of pot (ewer)
qe-ra-si-ja,Κερασία(>Θηρασία),Kerasia (>Therasia),goddess's name/epithet of Artemis?
qe-re-ti-ri-jo,βλητρίω(δυικ.)(>βλήτρον),vleitrio (dual) (>vleitron),a band or hoop (of ships)
qe-ta-ra-je-u,Κετραγεύς,Ketrayeus,personal name
qe-ta-wo,ΚέταFος,Ketavos,personal name
qe-te-a/qe-te-a2/qe-te-(j)o,(>τέλθος;),(>telthos?),due (to the gods?) (>τέλθος= debt/ payment due)
qe-to,(>πίθος),(>pithos),a kind of pot
qe-to-ro-,πετρο-(>τετρα-),petro- (>tetra-),tetra-
qe-to-ro-po-pi,πετροπόφι/τετροπόφι,petropophi/ tetropophi,"with four legs, cattle"
qe-to-ro-we,πετρώFεις/τετρώFεις,petrofeis/ tetrofeis,with four 'ears/' handles
qi-si-pe(-e),ξίφεε(δυικ.)(ξίφη),qsiphee (dual) (qsiphe),swords
qo-o,κrόος(>βούς),qwoos (> vous),Οχ
qo-ro-mu-ro,Βρώμυλος,Vromylos,place name
qo-u-ka-ra/qo-u-ka-ra-o-i,βούκαρα(>βουκρανία),voukara(>voukrania),bull head (βους= οχ+ κάρα= head)
qo-u-ko-ro,βουκόλος,voukolos,"shepherd, cattle-driver"
qo-u-qo-ta,βουβότας,vouvotas,"shepherd, pastor"
qo-wi-ja,κόρFια(>κουρήια),korfia (>koureia),divine (see also 'korfa')
ra-e-ja,λαεία(λάας),laheia (laas),made of stone
ra-ja,Ραία,Raia,place name
ra-ke-da-mi-ni-jo,Λακεδάμνιος(>Λακεδαιμόνιος),Lakedamnios (>Lakedemonios),ethnic name of '>Lacedaemon'
ra-ke-u,Λαχεύς,Laheus,personal name
ra-ku-ro/ra-ku-ro-jo,Λάχυρος,Lahyros,personal name
ra-mi-ni-ja,Λάμνιαι(>Λήμνιαι),Lamniai (>Lemniai),ethnic name of '>Lemnos?' (fem.)
ra-pa-sa-ko,Λάμψακος,Lampsakos,personal name
ra-pa-to(me-ηο),Λάπατος/Λάπανδος,Lapatos/Lapandos,('Λαπάτω   μηνός'= in the month of Lapatos)
ra-pi-ti-ra2/ra-pte-ri-ja/ra-qi-ti-ra2,ράπτρια(ι),raptria(i),seamstresses
ra-pte/ra-pte-re,Ράπτερ,rapter,"tailor, clothes- mender"
ra-su-ti-jo,Λασύνθιος,Lasynthios,ethnic name of 'Lasynthos'
ra-su-to,Λάσυνθος,Lasynthos,place name
ra-ti-jo,Λάτιος,Latios,ethnic name of 'Lato'
ra-to,Λατώ,Lato,place name
ra-wa-ke-ja/ra-wa-ke-si-ja/ra-wa-ke-si-jo,λαFαγεία/λαFαγέσια/λαFαγέσιος,lafageia/ lafagesia/ lafagesios,belonging to the 'lafagetas'
ra-wa-ke-si-ja-jo/ra-wa-ke-si-jo-jo,λαFαγεσιαίον,lafagesiaion,premises of the 'lafagetas' 
ra-wa-ke-ta,λαFαγέτας,lafagetas,official title (= leader of the people)
ra-wa-ra-ta/ra-u-ra-ta,ΛάFρανθα(ι),Lavrantha(i),place name
ra-wa-ra-ta2/ra-u-ra-ti-ja/ra-wa-ra-ti-jo/ra-wa-ra-*66,ΛαFρανθία(ι)/ΛαFράνθιος,Lavranthia(i)/ Lavranthios,ethnic name of 'Lavrantha'
ra-wo,λαFός(>λαός),lawos (>laos),people
ra-wo-do-ko,ΛαFόδοκος,Lawodokos,personal name
ra-wo-po-no,ΛαFόπονος,Lawoponos,personal name
re-ke-(e-)to-ro-te-ri-jo,Λεχεστρωτήριον,Lehestroteirion,religious feast
re-pe-u-ri-jo,Λεπεύριος,Lepeurios,ethnic name of '*re-pe-u '
re-po-to,Λεπτόν,lepton,"thin, fine"
re-u-ka-so,Λεύκασος,Leukasos,personal name
re-u-ko/re-u-ko-jo,Λεύκος,Leukos,personal name
re-u-ko-nu-ka,λευκόνυχα,lefkonyha (lefkos= white+ onyhas= nail),kind of decoration (for clothes)
re-u-ko-o-pu2-ru/re-u-ko-ro-o-pu2-ru,Λευκο(ρο)όφρυς,Lefko(ro)ophrys,personal name
re-u-ko-to-ro,Λεύκτροt/Λεύκτρον,Lefktroi/ Lefktron,place name
re-wo/re-wo-pi/re-wo-te-jo,λέFων/λέFοντφι/λεFοντίοις,lewon/ lewontphi/ lewonteiois,lion (implying decoration)
re-wo/re-wo-te-re-jo,λέFος/λεFοτέρειον(>λέβης/λεβητάριον),levos/levotereion (>leveis/ leveitarion),"kettle, caldron "
re-wo-to-ro-ko-wo,λεFοτρόκορFοι,levotrokorfoi,bath- attendants
ri-jo/ri-jo-de,Ρίον/Ρίονδε,Rion/ Rionde,place name (= cape)
ri-me-ne,Λιμένει(λιμήν),limenei (limein),harbor
ri-na-ko-ro,λίναγρος,linagros,(= flax gatherer )
ri-ne-ja,Λινείαι,lineiai,flax workers (fem.)
ri-nο,Λίνον,linon,flax (plant)
ro-i-ko,Ροϊκός,ro'ikos,crooked
ro-ko,Λωχός,Lohos,personal name
ro-o-wa,ΡοόFα,Roofa,place name
ro-u-si-je-wi-ja,ΛουσιέFεια(ι),Lousieveia(i),originating in 'Lousos' (fem.)
ro-u-si-jo,Λούσιος,Lousios,ethnic name of 'Lousos'
ro-u-so,Λουσός,Lousos,place name
ru-ke-wo-wo-wi-ja,Λυνκεύς+FόρFια,Lynkeus+ vorvia,place name (see also 'vorvos')
ru-ki-ti-jo,Λυκίνθιος,Lykinthios,ethnic name of 'Lykinthos'
ru-ki-to,Λύκινθος,Lykinthos,place name
ru-ko-ro/ru-ko-u-ro,Λύκο(υ)ρος,Lyko(u )ros,personal name
ru-ko-wo-ro,ΛυκοFόρος,Lykovoros,personal name
ru-na-so,Ρύνασος,Rynasos,personal name
ru-ra-ta(-e),Λυράτας,lyratas,player οη the lyre
sa-ke-re-u/sa-ke-re-we/sa-ke-re-wo,Σαγρεύς/Σαγηλεύς,Sagreus/Sageleus,personal name
sa-ma-ra,Σαμάρα,Samara,place name
sa-ma-ri-wa,ΣαμαρίFα,Samarifa,place/ethnic name of  'Samara'?
sa-pa-ke-te-ri-ja,σφακτηρίαt/σφάκτρια,sphakteiriai/ sphaktreia,animals for ritual slaughter 
sa-pi-de,σαρπίδες,sarpides,boxes
sa-ra-pe-da,Σραπέδας,Sraperdas,god's epithet ('Srapedas Poseidaon')
sa-ri-nu-wo-te/se-ri-no-(wo-)te/,ΣαλινουFόντει/Σελινοφόντει(>Σελινούς;),Salinoufontei/ Selinofontei (>Selinus?),place name
sa-sa-ma,σασάμα(>σησάμη),sasama (>sesame),sesame (plant)
se-re-mo-ka-ra-pi/se-re-mo-ka-ra-o-i/se-re-mo-ka-ra-o-re,σειρημοκαράφt/σειρημοκαράο(ρε)ι(seremo=>Σειρήνες;),seiremokaraphi/ seiremokarao(re )i ('seremo'  => Seirenes? + kara= head),(decorated) with heads of 'Sirens?'
se-ri-no,σέλινον,selinon,celery (plant)
se-to-i-ja,Σητοία(ι),Setoia(i),place name
si-a2-ro,σίhαλος,sihalos,Pig
si-ja-du-we,ΣιγαδύFει(ς),Sigadyfei(s),personal name
si-ma,Σίμα/Σιμά,Sima,personal name(fem.)
si-ma-ko,Σίμακος,Simakos,personal name
si-mi-te-u,Σμινθεύς,Smintheus,personal name (>epithet of god Apollo)
si-no-u-ro,Σίνουρος,Sinouros,personal name
si-ri-jo(-jo),Σιρίοιο(Σίριος),Sirioio (Sirios),personal name
si-to,σίτον,siton,wheat
si-to-ko-wo,σιτόκορFοι,sitokorfoi,occupation associated with wheat (grain- measurers?)
si-to-po-ti-ni-ja,σιτοπότνια,sitopotnia,goddess (= 'grain mistress')
so-u-ro,Σούρος,Souros,personal name
so-we-no,σοFενοί(σοFενός),sovenoι (sovenos),vine? (plant)
su-di-ni-ko,Σύδνικος,Sydnikos,personal name
su-ki-ri-ta,Σύγριτα,Sygrita,place name
su-qo-ta/su-qo-ta-o,συβότας,syvotas,pig farmer
su-n-mo,Σύριμος,Syrimos,place name
su-ro/su-ro-no,Σύρος,Syros,personal name su-we-ro-wi-jo,ΣυFερόFιος,Syverovios,personal/ ethnicname
su-za,σύζα(σύkΥα>σύκα),syza (sykYa> syka),fig fruits
ta-mi-je-u,Ταμιεύς,Tamieus,personal name
ta-ni-ko,Τάνιχος,Tanihos,personal name
ta-pa,τάρφα,tarpha,thick/close/ frequent
ta-pa-e-o-te,ta-paέοντες,'ta-pa' eontes,(έοντες= they being) (see also tarpha)
ta-ra-ma-ta/ta-ra-ma-ta-o,Θαλάματας,Thalamatas,personal name
ta-ra-mi-ka,Θαλαμικά/Θαλαμίσκα,Thalamika/ Thalamiska,personal name
ta-ra-nu/ta-ra-nu-we,θράνυς/θράνυFες,thranys/ thranyves,footstool
ta-ra-si-ja,ταλανσία,talansia,(unit of) copper
ta-su,Θάρσυς,Tharsys,"personal name (θάρσος= courage, confidence)"
ta-ta-ke-u,σταρταγεύς(>στρατηγός),startageus (>strategos),leader of the army
ta-ta-ro,Τάνταλος,Tantalos,personal name
ta-te-re,στατήρες;,stateres?,(>στατήρ= weight/coin)
ta-ti-qo-we-u/ta-ti-qo-we-wo,ΣτατιποFεύς,Statipoveus,personal name
ta-to-mo,σταθμός,stathmos,farmstead/ standing-post
te-ke,θήκε(θέτω),theike (theto),he assigned
te-ko-to-ne,τέκτονες,tektones,carpenters
te-me-no,τέμενος,temenos,"shrine, official/ religious place"
te-mi-de-we-te/te-mi-dwe-ta/te-mi-dwe-te/te-mi-*71-te,τερμιδFέντες(>τερμιόεντες),termidf entes (>termioentes),(= reaching to the feet) (see also 'termis')
te-mi-dwe/*te-mi,τέρμιδFες(>τέρμις),termidwes (>termis),"(τέρμις= foot, border, edge)"
te-mi-ti-ja/ti-mi-ti-ja,Θεμιστία/Τερμινθία,Themistia/ Terminthia,place name (see also 'ti-mi-to- a-ke-e' and 'ti-mi- to')
te-o/te-o-i/te-o-jo,θεόν/θεοίς/θεοίο(θεός),theon/ theois/ theoio (theos),God
te-o-do-ra,Θεοδώρα,Theodora,personal name (fem.)
te-o-po-ri-ja,Θεοφόρια,Theophoria,religious feast
te-qa-ja,Θη(κ)βαία,Thei(k)vea,personal/ethnic name of 'Thevai' (fem.)
te-qa-de,Θήβανδε(Θήβαι),Thevande (Thevai),place name (>Thebes?)
te-re-ta/te-re-ta-o,τελεσταi/τελεστάων(τελέστας),telestai/ telestaon (telestas),official title (τέλος = tax)
te-ru-ro,Τέλουρος,Telouros,personal name
te-se-u,Θησεύς,Thyseus,personal name
te-tu-ku-wo-a/te-tu-ku-wo-a2,τετυχύFοα,tetyhyvoa,"well prepared, ready"
te-tu-ru-we,ΤέθρυFες,Tethryves,ethnic/place name
te-u-ke-pi,"τεύχεσφι(τεύχος,τεύχεα)","teuhesphi (teuhos, teuhea)","with implements, paraphernalia"
ti-mi-to,τίρμινθος(>τέρμινθος),tirminthos (>terminthos),terebinth (tree)
ti-mi-to-a-ke-e/ti-mi-to-a-ke-i,(Θέμιτος)άγος/(Θεμιστών)άγος/(Τερμίνθων)άγκος,(Themitos) agos/ (Themiston) agos/ (Τerminthon) agkos,"'holy place of themis/themistes (=>oracles)'/ 'grove of the terebinth  trees' (see  'a-ke-e,'  'te-mi,' 'ti-mi-to')"
ti-nwa-si-ja,ΤινFασία,Tinfasia,place name
ti-ri-da-ro,Τριδάρος,Tridaros,personal name
ti-ri-ja/ti-ri-si,τρία/τρισί,tria/trisi,three
ti-ri-jo-we/ti-ri-o-we/ti-ri-o-we-e,τριώFεις,triofeis,"with three  'ears,' handles"
ti-ri-po/ti-ri-po-de,τρίπως/τρίπους,tripos/tripous,tripod (kind of stool)
ti-ri-po-di-ko,τριποδίσκοι,tripodiskoi,small tripods
ti-ri-se-ro-e,τρισιρώει(>τρισηρωίς),trisiroei (>triseiro'is),divine epithet (= 'the trice heroine')
to-e,τόε(>αυτόν),toe (>auton),him
to-jo,"τοίο(>του,αυτού)","toio (>tou, autou)",his
to-ke-u,Τοκεύς,Tokeus,personal name (= begetter)
to-ko-do-mo,τοιχοδόμοι,toihodomoi,"builders (τοίχος=w all, δομώ= to built)"
to-ko-so-ta,τοξότας,toksotas,archer
to-ko-so-wo-ko,τοξοFόργος/τοξFοργός,toksovorgos/ toksworgos,arch worker
to-ma-ko,Στόμαργος,Stomargos,personal/ animal name (= 'busy with the tongue')
to-me,τόμε(>τόνε),tome (>tone),him (see also 'toe')
to-no,Θόρνος(>θρόνος),thornos (>thronos),"chair, throne"
to-no-e-ke-te-ri-jo,Θορνοελκητήριον,Thornoelkeiterion,name of a festival
to-pe-za/to-pe-zo,τόρπεζα(>τράπεζα),torpeza (>trapeza),table
to-qi-de/to-qi-de-ja/to-qi-de-jo/to-qi-de-we-sa,τορπίδει/τορπιδεία/τορπίδειος/τορπίδFεσσα(τορπίς>τροπίς),torpidei/ torpideia/ torpideios/ torpidwessa (torpis >tropis),in/having spirals
to-ra-ka/to-ra-ke,θώραξ/θώρακες,thorax/ thorakes,armor
to-ri-jo,Θωρίος,Thorios,personal name
to-ro-no-wo-ko,θορνοFοργός,thornovorgos,maker of 'thornoi' (= thrones)
to-sa-de/to-so-de/,τοσάδε/τοσόσδε/,tosade/ tososde/,such (see also next)
to-so-jo/,τοσοίο/,tosoio/,
to-so-ne/,τοσόνε/,tosone/,
to-so-pa,τοσόσπας,tosospas,
to-sa,τόσαι/τόσα,tosai/tosa,such (plur. fem./ plur. neut.)
to-so,τόσοι/τόσον,tosoi/toson,such (plur. masq./ sing. neut.)
to-to,τότον,toton,this/such (see also 'toson')
tu-ka-te/tu-ka-te-re,θυγάτερ/θυγάτερες,thygater/ thygateres,daughter
tu-ke-ne-u,Τυχενεύς,Tyheneus,personal name
tu-ra-te-u/tu-ra-te-u-si/tu-ra-te-we,θηρατεύς,therateus,door keeper (θήρα= door)
tu-ri-si-ja/tu-ri-si-jo,Τυλίσια/Τυλίσιος,Tylisia/Tylisios,ethnic name of 'Tylisos'
tu-ri-so,Τύλισος,Tylisos,place name
tu-ri-ta,Τύλιτας,Tylitas,personal name
tu-ro2,τυρίον,tyrion,cheese
tu-ru-pte-ri-ja,στρυπτερία,strypteria,alum
tu-we-a/tu-wo,θύFεα/θύFος,thyvea/ thyvos,sacrificial fire
tu-we-ta,ΘυFέστας,Thyvestas,personal name
u-do-ro,ύδρος,ydros,kind of pot (water jar?)
u-pa-ra-ki-ri-ja/u-po-ra-ki-ri-ja/u-pa-ra-ko-ra-i-ja,u-pa-ra+άγρια/u-pa-ra+χωραία,'u-pa-ra'+ agria/ 'u-pa-ra'+ horaia,place name (see also 'a-ko-ro' or 'devroaihoraiai/' 'peraiaihoraiai ')
u-po,υπό,ypo,under
u-ra-jo,Υλαίος,Ylaios,"personal name (ύλα= forest, wood)"
u-ra-mo-no,Ύλαμνος,Ylamnos,personal name
u-re-u,Υλεύς,Yleus,personal name
u-ro2,Υλίων/Υρίων,Ylion/Yrion,personal name
u-ru-pi-ja-jo/u-ru-pi-ja-jo-jo,Fρυπιαίοι,Vrypiaioi,ethnic name
u-ru-to,Fρύντοι(Fρύμαι),fryntoi (frymai),to guard
u-ta-jo(-jo),Υταίοιο(Υταίος),Ytaioio (Ytaios),personal name
u-ta-no,Ύτανος,Ytanos,personal name
u-wa-ta,ΥFάτας,Yvatas,personal name
wa-na-ka/wa-na-ka-te/wa-na-ka-to/wa-na-ke-te,Fάναξ/Fάνακτος/Fανάκτει,vanax/ vanaktos/ vanaktei,"wanax, king, leader aristocrat"
wa-na-ka-te-ra/wa-na-ka-te-ro,Fανάκτερα/Fανακτέρων(>ανάκτορα),vanaktera/ vanakteron (>anaktora),premises of the wanax
wa-na-sa,Fάνασσα,vanassa,queen
wa-na-se-wi-ja/wa-na-se-wi-jo,FανασέFια/FανασέFιος,vanasevia/ vanasevιos,royal
wa-na-so/wa-na-so-i/wa-no-so-i,Fάνασος,Vanasos,place name
wa-na-ta-jo/wa-na-ta-jo-jo,Fαναταίος,Vanataios,personal name
wa-ni-ko,Fάνιχος,Vanihos,personal name
wa-no-jo,Fάνοιο,Vanioio,place name
wa-pa-ro-jo,Fαπφάλοιο(Fάπφαλος),Vaphaloio (Vaphalos),personal name
wa-to,Fάτος,Vatos,place name
wa-tu/wa-tu-o,Fάστυ,vasty,"city, town"
wa-tu-o-ko,Fαστύοχος,Vastyohos,personal name
we-a-re-ja/we-a-re-jo/we-a2-re-Jo,Fεαλεία/Fεάλειος(>υαλεία/υάλειος),vealeia/ vealeios (> yaleia/yaleios),made of glass
we-a2-no/we-a2-no-i,Fεhανός,vehanos,type of cloth
we-da-ne-u/we-da-ne-we/we-da-ne-wo,Fενδανεύς,Vendaneus,personal name
we-pe-za,Fέκπεζα,fekpeza,(table) with six legs
we-te-i-we-te-i,Fέτει-Fέτει,fetei- fetei,'from year to year'
we-to,Fέτος,fetos,this year
we-we-e-a,FερFέεια(*FέρFος>είρος),verveeιa (*vervos> eiros),woolen (fem.)
we-we-si-jo(-jo),FεFεσίοιο(FεFέσιος),Vevesioio (Vevesios),personal name
(o-)wi-de,Fίδε(ορώ),vide (oro),he saw ('o-wi-de'= 'this is what he saw')
wi-do-wo-i-jo/wi-du-wo-i-jo/wi-dwo-i-jo,FιδοFοίος,Vidovoios,personal name
wi-du-ro,Fίδυλος,Vidylos,personal name
wi-du-wa-ko,FιδουFάκος,Vidouvakos,personal name
wi-pi-no-o,Fιφίνοος,Viphinoos,personal name
wi-ri-ne-(j)o/wi-ri-ne-we/wi-ri-ni-jo,Fρίνειος,vnneιos,made of leather
wi-ri-nο,Fρινός,vnnos,leather
wi-se-jo,Fίσειος,Viseios,personal name
wi-su-ro,Fίσυλος,Visylos,personal name
wi-ti-mi-jo,Fιτίμιος,Vitimios,personal name
wi-tu-ri-jo,Fιτύλιος,Vitylios,personal name
wo-do-we,FορδόFεν(>ροδόεν),vordofen (>rodoen),made with rose oil
wo-i-ko-de/wo-ko-de,Fοίκονδε(Fοίκος>οίκος),voikonde (voikos >oikos),(going) home
wo-ka,Fόχα,voha,vehicle
wo-ne-we,FονέFει(Fονεύς),Fonevei (Fonefs),personal name
wo-no,Fοίνος,νοιηοs,wιne
wo-no-qe-wa/wo-no-qe-we,FονοκέFαν/FονοκέFει(Fονοκεύς),Fonokevan/ Fonokevei (Fonokeus),personal name
wo-no-qo-so,Fοίνωψ,Voinops,personal name
wo-qe-we,FοκέFει(Fοκεύς),Fokevei (Fokeus),personal name
wo-ra-we-sa,FοράFεσσα,foravessa,"(description of a chariot) (>φέρω= to bear, to caπy)"
wo-ro-ki-jo-ne-jo,Fοργιόνειος(Fοργίονες>Οργέωνες),νorgioneios (Vorgiones> Orgeones),cult association
wo-ro-ne-ja,Fρόνεια(>άρνεια),vronia (> arneia),of a lamb
wo-wo,FόρFος(>όρος/όριον),vorvos (>oros/orion),mountain/limit
