id,document_name,link,findspot,scribe,palmprint,chronology,museum_inventory_number,signs,words
1,KN Nc 4470[+]5109,https://liber.cnr.it/tablet/view/1,(L) Arsenal,133,,LM III A2,Herakleion M. 1600 [+] 1604,4,1
3,KN Nc 4474+frr.(3),https://liber.cnr.it/tablet/view/3,(L) Arsenal,133,,LM III A2,Herakleion M. 1458,6,3
4,KN Nc 4475,https://liber.cnr.it/tablet/view/4,(L) Arsenal,133?,,LM III A2,Herakleion M.,2,1
5,KN Nc 4479,https://liber.cnr.it/tablet/view/5,(L) Arsenal,133,,LM III A2,Herakleion M. 1451,5,4
6,KN Nc 4480+8252,https://liber.cnr.it/tablet/view/6,(L) Arsenal,133,,LM III A2,Herakleion M. 1467,4,2
9,KN Nc 4484[+]4488+fr.,https://liber.cnr.it/tablet/view/9,(L) Arsenal,133,,LM III A2,Herakleion M. 1471 [+] 1567,13,5
10,KN Nc 4485,https://liber.cnr.it/tablet/view/10,(L) Arsenal,133,,LM III A2,Herakleion M. 1585,3,1
11,KN Nc 4489+8185+8188+fr.,https://liber.cnr.it/tablet/view/11,(L) Arsenal,133,,LM III A2,Herakleion M. 1576 + 1580 + 1587,6,2
12,KN Nc 4490+5099,https://liber.cnr.it/tablet/view/12,(L) Arsenal,133,,LM III A2,Herakleion M. 1473 + 1562,5,3
3501,KN Do 7120,https://liber.cnr.it/tablet/view/3501,,,106,,,Herakleion M.,8,8
3502,KN Do 7239,https://liber.cnr.it/tablet/view/3502,,,106,,,Herakleion M.,2,2
3503,KN Do 7613,https://liber.cnr.it/tablet/view/3503,,,106?,,,Herakleion M.,11,3
3504,KN Do 7740,https://liber.cnr.it/tablet/view/3504,,,106?,,,Herakleion M.,8,3
3505,KN Do 9358+9361+9381+fr.(9),https://liber.cnr.it/tablet/view/3505,,,106?,,,Herakleion M.,2,2
3506,KN Do 9668+frr.,https://liber.cnr.it/tablet/view/3506,,,106,,,Herakleion M.,3,3
3507,KN Do 9726+fr.,https://liber.cnr.it/tablet/view/3507,,,106?,,,Herakleion M.,1,1
3508,KN Do 9761+frr.,https://liber.cnr.it/tablet/view/3508,,,106,,,Herakleion M.,2,2
3509,KN Do 9793,https://liber.cnr.it/tablet/view/3509,,,106?,,,Herakleion M.,4,1
3510,KN Dp 43,https://liber.cnr.it/tablet/view/3510,(B4) Area Beyond W. Wall,,,,LM III A2,Herakleion M. 860,5,3
3511,KN Dp 699,https://liber.cnr.it/tablet/view/3511,(I6) E. of Chamber of Hieroglyph Inscription,,,,LM III A2,Herakleion M. 494,9,5
3512,KN Dp 937+8047[+]7832,https://liber.cnr.it/tablet/view/3512,(I3) Area of Bull Relief,,,,LM III A2,Herakleion M. 540,3,3
3513,KN Dp 997+7206,https://liber.cnr.it/tablet/view/3513,(I3) Area of Bull Relief,,118,,LM III A2,Herakleion M. 1194,13,5
3514,KN Dp 1061,https://liber.cnr.it/tablet/view/3514,"(K1) Area of Clay Signet Room Minos 31-32, p. 65; Minos 35-36, p. 130, 238 (ex K3)","Minos 31-32, p. 65; Minos 35-36, p. 130, 238 (ex K3)",117?,,LM III A2,Herakleion M. 472,8,5
3516,KN Dp 5508,https://liber.cnr.it/tablet/view/3516,,,117?,,,Herakleion M.,6,2
3517,KN Dp 7135,https://liber.cnr.it/tablet/view/3517,,,,,,Herakleion M.,3,3
3518,KN Dp 7280,https://liber.cnr.it/tablet/view/3518,,,120,,,Herakleion M.,6,6
3519,KN Dp 7742,https://liber.cnr.it/tablet/view/3519,,,,,,Herakleion M.,13,3
3520,KN Dq(3) 42,https://liber.cnr.it/tablet/view/3520,(B4) Area Beyond W. Wall,,217,,LM III A2,Herakleion M. 857,9,4
3521,KN Dq(3) 45,https://liber.cnr.it/tablet/view/3521,(B4) Area Beyond W. Wall,,217,,LM III A2,Herakleion M. 861,9,4
3522,KN Dq(3) 46+fr.,https://liber.cnr.it/tablet/view/3522,(B4) Area Beyond W. Wall,,217,,LM III A2,Herakleion M. 865,10,3
3523,KN Dq(4) 438,https://liber.cnr.it/tablet/view/3523,"— Minos 31-32, p. 28; Minos 35-36, p. 115 (ex E6)","Minos 31-32, p. 28; Minos 35-36, p. 115 (ex E6)",106,,,Herakleion M. 1066,13,5
3524,KN Dq(1) 439+5469+5762,https://liber.cnr.it/tablet/view/3524,(F1) W. Magazine II,,121,,LM III A2,Herakleion M. 1062 + άκρα πινακίδος άγραφα (noted),16,8
3525,KN Dq(1) 440,https://liber.cnr.it/tablet/view/3525,(F1) W. Magazine II,,121,,LM III A2,Herakleion M. 1064,12,7
3526,KN Dq(1) 441,https://liber.cnr.it/tablet/view/3526,(F1) W. Magazine II,,121,,LM III A2,Herakleion M. 1080,10,3
3527,KN Dq(3) 442+5991,https://liber.cnr.it/tablet/view/3527,(F1) W. Magazine II,,217,,LM III A2,Herakleion M. 1083,10,4
3528,KN Dq(3) 445,https://liber.cnr.it/tablet/view/3528,(F1) W. Magazine II,,217?,,LM III A2,Herakleion M.,7,3
3529,KN Dq(1) 447,https://liber.cnr.it/tablet/view/3529,(F2) W. Magazine III,,121,,LM III A2,Herakleion M. 893 + 922 (noted),11,7
3530,KN Dq(1) 448,https://liber.cnr.it/tablet/view/3530,(F2) W. Magazine III,,121,,LM III A2,Herakleion M. 895,5,2
3531,KN Dq(1) 449,https://liber.cnr.it/tablet/view/3531,(F2) W. Magazine III,,121,,LM III A2,Herakleion M. 901,5,5
3532,KN Dq(1) 672,https://liber.cnr.it/tablet/view/3532,(F15) Corridor of Stone Jambs,,121,,LM III A2,Herakleion M. 899,5,5
3533,KN Dq(4) 686,https://liber.cnr.it/tablet/view/3533,(F18) N. end of Long Corridor,,106?,,LM III A2,Herakleion M. 856,13,4
3534,KN Dq(3) 1026+7273+frr.(5),https://liber.cnr.it/tablet/view/3534,(I3) Area of Bull Relief,,217,,LM III A2,Herakleion M. 1111,9,5
3535,KN Dq(2) 1234+7261+7266,https://liber.cnr.it/tablet/view/3535,(J1) E.W. Corridor,,216,,LM III A2,Herakleion M. 611,12,9
3536,KN Dq(2) 1377+frr.(3),https://liber.cnr.it/tablet/view/3536,(J1) E.W. Corridor,,216,,LM III A2,Herakleion M. 1005,8,4
3537,KN Dq(2) 1603+7083,https://liber.cnr.it/tablet/view/3537,"(J1) E.W. Corridor Minos 35-36, p. 90, 244 (ex —)","Minos 35-36, p. 90, 244 (ex —)",216,,LM III A2,Herakleion M. 609,10,8
3538,KN Dq(1) 1803 (= 47 bis),https://liber.cnr.it/tablet/view/3538,(F2) W. Magazine III,,121,,LM III A2,Herakleion M. 904,9,6
3539,KN Dq(2) 5595+5638,https://liber.cnr.it/tablet/view/3539,,,216?,,,Herakleion M.,5,3
3540,KN Dq(2) 7113,https://liber.cnr.it/tablet/view/3540,,,216?,,,Herakleion M.,4,4
3541,KN Dq(3) 7119,https://liber.cnr.it/tablet/view/3541,,,217,,,Herakleion M.,5,4
3542,KN Dq(3) 7126,https://liber.cnr.it/tablet/view/3542,,,217,,,Herakleion M.,7,3
3543,KN Dq(3) 7137,https://liber.cnr.it/tablet/view/3543,,,217,,,Herakleion M.,4,3
3544,KN Dq(2) 7177+8387,https://liber.cnr.it/tablet/view/3544,,,216?,,,Herakleion M.,7,5
3545,KN Dq(2) 7260,https://liber.cnr.it/tablet/view/3545,,,216?,,,Herakleion M.,4,4
3546,KN Dq(3) 7852,https://liber.cnr.it/tablet/view/3546,,,217?,,,Herakleion M.,7,2
3547,KN Dq(1) 8208,https://liber.cnr.it/tablet/view/3547,,,121,,,Ashmolean M. 1941.179,6,6
3548,KN Dq(3) 8351,https://liber.cnr.it/tablet/view/3548,,,217?,,,Herakleion M.,9,2
3549,KN De 1085+fr.,https://liber.cnr.it/tablet/view/3549,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 328,15,8
3550,KN Db 1086,https://liber.cnr.it/tablet/view/3550,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 965,11,6
3551,KN Db 1100+8389+8430,https://liber.cnr.it/tablet/view/3551,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M.,4,4
3552,KN Dv 1103,https://liber.cnr.it/tablet/view/3552,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 974,8,4
3553,KN Dv 1104,https://liber.cnr.it/tablet/view/3553,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 463,7,3
3554,KN Dv 1111,https://liber.cnr.it/tablet/view/3554,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 444,9,5
3555,KN Dv 1113+5221,https://liber.cnr.it/tablet/view/3555,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 455,12,5
3556,KN Dv 1124,https://liber.cnr.it/tablet/view/3556,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 1014,6,4
3557,KN Dv 1125+5321,https://liber.cnr.it/tablet/view/3557,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 1010,6,2
3558,KN Dv 1128+5567,https://liber.cnr.it/tablet/view/3558,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 987,9,5
3559,KN Dv 1133,https://liber.cnr.it/tablet/view/3559,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 592,11,5
3560,KN Dv 1139+1443+fr.,https://liber.cnr.it/tablet/view/3560,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 1007 + 1345,11,4
3561,KN Dv 1142,https://liber.cnr.it/tablet/view/3561,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 629,10,4
3562,KN Dv 1145,https://liber.cnr.it/tablet/view/3562,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 953,11,7
3563,KN Dv 1146+1498,https://liber.cnr.it/tablet/view/3563,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 963 + 658,14,7
3564,KN Dv 1188+1484,https://liber.cnr.it/tablet/view/3564,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 972 + 1014,9,4
3565,KN Db 1190+1444,https://liber.cnr.it/tablet/view/3565,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 461 + —,10,6
3566,KN Da 1191+fr.,https://liber.cnr.it/tablet/view/3566,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 453,8,4
3567,KN Db 1199+8717,https://liber.cnr.it/tablet/view/3567,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 599,10,6
3568,KN Da 1205+5206,https://liber.cnr.it/tablet/view/3568,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 462,9,4
3569,KN Dv 1206+frr.(4),https://liber.cnr.it/tablet/view/3569,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 389,11,6
3570,KN Dv 1213,https://liber.cnr.it/tablet/view/3570,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 458,6,4
3571,KN Dv 1214+5273+5298,https://liber.cnr.it/tablet/view/3571,(J1) E.W. Corridor,,117,R pi,LM III A2,Herakleion M. 376,9,6
3572,KN Dv 1215,https://liber.cnr.it/tablet/view/3572,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 374,5,3
3573,KN Dv 1216,https://liber.cnr.it/tablet/view/3573,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 564,8,3
3574,KN De 1217+5331,https://liber.cnr.it/tablet/view/3574,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 970,7,5
3575,KN Dv 1237+frr.,https://liber.cnr.it/tablet/view/3575,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 555,11,6
3576,KN Da 1239+fr.,https://liber.cnr.it/tablet/view/3576,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 558,16,8
3577,KN Dv 1249,https://liber.cnr.it/tablet/view/3577,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 367,10,6
3578,KN Dv 1266+fr.,https://liber.cnr.it/tablet/view/3578,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 335,7,4
3579,KN Dc 1272+5411,https://liber.cnr.it/tablet/view/3579,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 322,15,8
3580,KN Dv 1292+5701,https://liber.cnr.it/tablet/view/3580,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 362,7,3
3581,KN Dv 1308+7686+frr.(3),https://liber.cnr.it/tablet/view/3581,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 1013,9,5
3582,KN Dv 1309,https://liber.cnr.it/tablet/view/3582,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 459,8,3
3583,KN Dv 1310,https://liber.cnr.it/tablet/view/3583,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 648,5,2
3584,KN Da 1312+frr.,https://liber.cnr.it/tablet/view/3584,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 602,7,4
3585,KN Dv 1328+frr.,https://liber.cnr.it/tablet/view/3585,(J1) E.W. Corridor,,117,,LM III A2,"Herakleion M. 639, 632",8,5
3586,KN Dv 1330+1404,https://liber.cnr.it/tablet/view/3586,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 974 + 584,10,5
3587,KN Dv 1331,https://liber.cnr.it/tablet/view/3587,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 605,7,3
3588,KN Dv 1332,https://liber.cnr.it/tablet/view/3588,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 615,12,4
3589,KN Dv 1334+5324+8393+frr.(4),https://liber.cnr.it/tablet/view/3589,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 974,11,4
3590,KN Dc 1370+1488+7189,https://liber.cnr.it/tablet/view/3590,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 658,13,7
3592,KN Dv 1388,https://liber.cnr.it/tablet/view/3592,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 956,14,6
3593,KN Dc 1410+1514,https://liber.cnr.it/tablet/view/3593,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 609 + 375,11,7
3594,KN Dv 1411,https://liber.cnr.it/tablet/view/3594,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 658,3,1
3595,KN Dv 1412,https://liber.cnr.it/tablet/view/3595,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 1014,4,1
3597,KN Dc 1417+7097,https://liber.cnr.it/tablet/view/3597,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 999,13,8
3598,KN Dv 1422,https://liber.cnr.it/tablet/view/3598,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 465,4,3
3599,KN Dv 1427,https://liber.cnr.it/tablet/view/3599,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 974,8,2
3600,KN Dv 1430+7200+8410+fr.,https://liber.cnr.it/tablet/view/3600,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 619,14,8
3601,KN Dv 1434+5691,https://liber.cnr.it/tablet/view/3601,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 658,9,3
3602,KN Dv 1436,https://liber.cnr.it/tablet/view/3602,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 1014,2,1
3603,KN Dv 1439,https://liber.cnr.it/tablet/view/3603,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 643,9,3
3604,KN Dv 1442,https://liber.cnr.it/tablet/view/3604,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 465,3,1
3605,KN Dv 1447+7258+8379,https://liber.cnr.it/tablet/view/3605,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 658,6,2
3606,KN Dv 1450+7270+frr.,https://liber.cnr.it/tablet/view/3606,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 1014,4,2
3607,KN Dv 1457,https://liber.cnr.it/tablet/view/3607,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 974,4,2
3608,KN Dv 1459+fr.,https://liber.cnr.it/tablet/view/3608,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 619,2,1
3609,KN Dv 1462+5279+5585,https://liber.cnr.it/tablet/view/3609,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M.,13,8
3610,KN Dv 1466,https://liber.cnr.it/tablet/view/3610,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 330,7,4
3611,KN Dv 1470,https://liber.cnr.it/tablet/view/3611,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 619,3,1
3612,KN Dd 1471+5404,https://liber.cnr.it/tablet/view/3612,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 390,13,9
3613,KN Dv 1479+7269+8419+fr.,https://liber.cnr.it/tablet/view/3613,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 1014,9,4
3614,KN Dv 1487,https://liber.cnr.it/tablet/view/3614,(J1) E.W. Corridor,,117?,,LM III A2,Herakleion M.,4,1
3615,KN Dv 1490,https://liber.cnr.it/tablet/view/3615,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 606,7,2
3616,KN Dv 1492+7099,https://liber.cnr.it/tablet/view/3616,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 591,10,6
3617,KN Dv 1493+7248+7885+frr.(3),https://liber.cnr.it/tablet/view/3617,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M.,9,4
3618,KN Df 1496+7228+7244+fr.,https://liber.cnr.it/tablet/view/3618,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 1265,15,7
3619,KN Dv 1500+8316,https://liber.cnr.it/tablet/view/3619,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 658,4,2
3620,KN Dv 1501,https://liber.cnr.it/tablet/view/3620,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M.,3,1
3621,KN Dv 1502+2017,https://liber.cnr.it/tablet/view/3621,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 465,7,2
3622,KN Dv 1503+7183,https://liber.cnr.it/tablet/view/3622,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 652,11,5
3623,KN Dv 1504+fr.,https://liber.cnr.it/tablet/view/3623,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 395,8,6
3624,KN Dv 1505,https://liber.cnr.it/tablet/view/3624,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 658,3,1
3625,KN Dv 1506,https://liber.cnr.it/tablet/view/3625,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 658,2,1
3626,KN Dv 1509+7077,https://liber.cnr.it/tablet/view/3626,(J1) E.W. Corridor,,117,,LM III A2,Herakleion M. 1014,13,5
3627,KN Db 1601+5399,https://liber.cnr.it/tablet/view/3627,"(J1) E.W. Corridor Minos 35-36, p. 244 (ex —)","Minos 35-36, p. 244 (ex —)",117,,LM III A2,Herakleion M. —,10,6
3628,KN Dv 1607+5978+7276+fr.,https://liber.cnr.it/tablet/view/3628,"(J1) E.W. Corridor Minos 35-36, p. 244 (ex —)","Minos 35-36, p. 244 (ex —)",117,,LM III A2,Herakleion M.,12,6
3629,KN Dv 1621+5116,https://liber.cnr.it/tablet/view/3629,"(J1) E.W. Corridor Minos 35-36, p. 244 (ex —)","Minos 35-36, p. 244 (ex —)",117,,LM III A2,Herakleion M. 1014,6,4
3630,KN Dv 2019+5681,https://liber.cnr.it/tablet/view/3630,,,117,,,Herakleion M.,7,4
3631,KN Dv 5049,https://liber.cnr.it/tablet/view/3631,"(J1) E.W. Corridor Minos 35-36, p. 92, 244 (ex —)","Minos 35-36, p. 92, 244 (ex —)",117?,,LM III A2,Herakleion M. 1014,3,1
3632,KN Dv 5054+5080+7255,https://liber.cnr.it/tablet/view/3632,"(J1) E.W. Corridor Minos 35-36, p. 92, 244 (ex —)","Minos 35-36, p. 92, 244 (ex —)",117,,LM III A2,Herakleion M. 1014,7,2
3633,KN Dv 5075,https://liber.cnr.it/tablet/view/3633,,,117,,,Herakleion M. 1001,11,6
3634,KN Dv 5200+8601,https://liber.cnr.it/tablet/view/3634,,,117,,,Herakleion M.,5,2
3635,KN Dv 5203,https://liber.cnr.it/tablet/view/3635,,,117,,,Herakleion M.,3,1
3636,KN Da 5209+5248,https://liber.cnr.it/tablet/view/3636,,,117,,,Herakleion M.,6,5
3637,KN Dv 5219+5574,https://liber.cnr.it/tablet/view/3637,,,117,,,Herakleion M.,7,4
3638,KN Dv 5224+fr.,https://liber.cnr.it/tablet/view/3638,,,117,,,Herakleion M.,5,2
3639,KN Dv 5232+5686+8386+fr.,https://liber.cnr.it/tablet/view/3639,,,117,,,Herakleion M.,7,2
3640,KN Da 5235+7196,https://liber.cnr.it/tablet/view/3640,,,117,,,Herakleion M.,5,3
3641,KN Dv 5236+5329,https://liber.cnr.it/tablet/view/3641,,,117,,,Herakleion M.,5,4
3642,KN Dv 5241+5293,https://liber.cnr.it/tablet/view/3642,,,117,,,Herakleion M.,4,1
3643,KN Dv 5253+5413+fr.,https://liber.cnr.it/tablet/view/3643,,,117,,,Herakleion M.,4,3
3644,KN Dv 5256+5300+5347,https://liber.cnr.it/tablet/view/3644,,,117,,,Herakleion M.,9,6
3645,KN Dv 5258+8600,https://liber.cnr.it/tablet/view/3645,,,117,,,Herakleion M.,4,3
3646,KN Dv 5259+frr.,https://liber.cnr.it/tablet/view/3646,,,117,,,Herakleion M.,5,3
3647,KN Dv 5271,https://liber.cnr.it/tablet/view/3647,,,117,,,Herakleion M.,4,4
3648,KN Dv 5278+5338+8557,https://liber.cnr.it/tablet/view/3648,,,117,,,Herakleion M.,6,4
3649,KN Dv 5285,https://liber.cnr.it/tablet/view/3649,,,117,,,Herakleion M.,4,1
3650,KN Dv 5287,https://liber.cnr.it/tablet/view/3650,,,117,,,Herakleion M.,2,1
3651,KN Dv 5291+5588,https://liber.cnr.it/tablet/view/3651,,,117,,,Herakleion M.,7,4
3652,KN Dv 5296+5365,https://liber.cnr.it/tablet/view/3652,,,117,,,Herakleion M.,13,7
3653,KN Dv 5297,https://liber.cnr.it/tablet/view/3653,,,117,,,Herakleion M.,6,4
3654,KN Dv 5301+7089+7958,https://liber.cnr.it/tablet/view/3654,,,117,,,Herakleion M.,6,4
3655,KN Dv 5302,https://liber.cnr.it/tablet/view/3655,,,117,,,Herakleion M.,6,2
3656,KN Dv 5312[+]6057[+]8789,https://liber.cnr.it/tablet/view/3656,,,117,,,Herakleion M.,6,3
3657,KN Dv 5315,https://liber.cnr.it/tablet/view/3657,,,117,,,Herakleion M.,4,3
3658,KN Dv 5322+5377,https://liber.cnr.it/tablet/view/3658,,,117,,,Herakleion M.,4,4
3659,KN Dv 5328+5376,https://liber.cnr.it/tablet/view/3659,,,117,,,Herakleion M.,6,4
3660,KN De 5335+9660+frr.,https://liber.cnr.it/tablet/view/3660,,,117,,,Herakleion M.,6,4
3661,KN Dv 5341,https://liber.cnr.it/tablet/view/3661,,,117?,,,Herakleion M.,1,1
3662,KN Dv 5343,https://liber.cnr.it/tablet/view/3662,,,117?,,,Herakleion M.,1,1
3663,KN Dv 5349,https://liber.cnr.it/tablet/view/3663,,,117,,,Herakleion M.,4,3
3664,KN Dv 5350,https://liber.cnr.it/tablet/view/3664,,,117,,,Herakleion M.,3,1
3665,KN Da 5357+fr.,https://liber.cnr.it/tablet/view/3665,,,117,,,Herakleion M.,8,4
3666,KN Df 5368+5371,https://liber.cnr.it/tablet/view/3666,,,117,,,Herakleion M.,5,5
3667,KN Dv 5372+7230,https://liber.cnr.it/tablet/view/3667,,,117,,,Herakleion M.,3,3
3668,KN Dv 5398+7207+8749+fr.,https://liber.cnr.it/tablet/view/3668,,,117,,,Herakleion M.,8,6
3669,KN Dv 5407+8359+frr.,https://liber.cnr.it/tablet/view/3669,,,117,,,Herakleion M.,2,2
3670,KN Dv 5412+8431,https://liber.cnr.it/tablet/view/3670,,,117,,,Herakleion M.,5,5
3671,KN Dv 5414,https://liber.cnr.it/tablet/view/3671,,,117,,,Herakleion M.,1,1
3672,KN Dv 5416,https://liber.cnr.it/tablet/view/3672,,,117,,,Herakleion M.,1,1
3673,KN Dv 5580,https://liber.cnr.it/tablet/view/3673,,,117?,,,Herakleion M.,1,1
3674,KN Dv 5593,https://liber.cnr.it/tablet/view/3674,,,117,,,Herakleion M.,3,3
3675,KN Dv 5640,https://liber.cnr.it/tablet/view/3675,,,117?,,,Herakleion M.,1,1
3676,KN Dv 5663,https://liber.cnr.it/tablet/view/3676,,,117,,,Herakleion M.,4,1
3677,KN Dv 5667,https://liber.cnr.it/tablet/view/3677,,,117,,,Herakleion M.,8,3
3678,KN Dv 5675,https://liber.cnr.it/tablet/view/3678,,,117,,,Herakleion M.,2,2
3679,KN Dv 5689,https://liber.cnr.it/tablet/view/3679,,,117,,,Herakleion M.,2,1
3680,KN Dv 5690,https://liber.cnr.it/tablet/view/3680,,,117,,,Herakleion M.,2,1
3681,KN Dv 5694+frr.,https://liber.cnr.it/tablet/view/3681,,,117,,,Herakleion M.,9,4
3682,KN Dv 5696+7934+8331+9592,https://liber.cnr.it/tablet/view/3682,,,117,,,Herakleion M.,11,6
3683,KN Dd 5704+7180+frr.,https://liber.cnr.it/tablet/view/3683,,,117,,,Herakleion M.,12,9
3684,KN Dv 5775+fr.,https://liber.cnr.it/tablet/view/3684,,,117,,,Herakleion M.,2,1
3685,KN Dv 5839,https://liber.cnr.it/tablet/view/3685,,,117,,,Herakleion M.,1,1
3686,KN Dv 5841+7951+fr.,https://liber.cnr.it/tablet/view/3686,,,117,,,Herakleion M.,6,3
3687,KN Dv 5843+8405,https://liber.cnr.it/tablet/view/3687,,,117,,,Herakleion M.,7,6
3688,KN Dv 5934,https://liber.cnr.it/tablet/view/3688,,,117,,,Herakleion M.,3,1
3689,KN De 5989+7224+frr.(3),https://liber.cnr.it/tablet/view/3689,,,117,,,Herakleion M.,14,8
3690,KN Dv 6018+8358+fr.,https://liber.cnr.it/tablet/view/3690,,,117,,,Herakleion M.,9,3
3691,KN Dv 6022+frr.,https://liber.cnr.it/tablet/view/3691,,,117,,,Herakleion M.,4,3
3692,KN Dv 6045,https://liber.cnr.it/tablet/view/3692,,,117,,,Herakleion M.,2,1
3693,KN Df 6054+8397+fr.,https://liber.cnr.it/tablet/view/3693,"(J1) E.W. Corridor Minos 31-32, p. 92; Minos 35-36, p. 244 (ex —)","Minos 31-32, p. 92; Minos 35-36, p. 244 (ex —)",117,,LM III A2,Herakleion M. 974,10,8
3694,KN Dv 6056,https://liber.cnr.it/tablet/view/3694,,,117,,,Herakleion M.,3,2
3695,KN Dv 6059[+]8790,https://liber.cnr.it/tablet/view/3695,,,117,,,Herakleion M.,6,2
3696,KN Dv 7098+7111+frr.,https://liber.cnr.it/tablet/view/3696,,,117,,,Herakleion M.,7,4
3697,KN Df 7124,https://liber.cnr.it/tablet/view/3697,,,117,,,Herakleion M.,6,6
3698,KN Dv 7140,https://liber.cnr.it/tablet/view/3698,,,117,,,Herakleion M.,6,5
3699,KN Dc 7142,https://liber.cnr.it/tablet/view/3699,,,117,,,Herakleion M.,4,4
3700,KN Dv 7152,https://liber.cnr.it/tablet/view/3700,,,117,,,Herakleion M.,5,5
3701,KN Dv 7167,https://liber.cnr.it/tablet/view/3701,,,117,,,Herakleion M.,5,5
3702,KN De 7176+8236+8281,https://liber.cnr.it/tablet/view/3702,,,117,,,Herakleion M.,12,7
3703,KN Dv 7181+7227+fr.,https://liber.cnr.it/tablet/view/3703,,,117,,,Herakleion M.,8,5
3704,KN De 7190+8704,https://liber.cnr.it/tablet/view/3704,,,117,,,Herakleion M.,6,6
3705,KN Dv 7195,https://liber.cnr.it/tablet/view/3705,,,117,,,Herakleion M.,3,3
3706,KN Db 7202+8231+fr.,https://liber.cnr.it/tablet/view/3706,,,117,,,Herakleion M.,4,4
