linear_b,word_type,part_of_speech,inflection,confidence,greek,reasoning
pe-ra-ko-ra-i-ja,3,0,1,0.9,περαιγολαια,The word 'pe-ra-ko-ra-i-ja' has the cognate 'περαιγολαια'. This word appears to be a common noun. The ending '-a' suggests that it is a thematic noun in -a.
pe-rai-ko-ra-i-ja,1,0,1,0.9,περαιαιχωραιαι,"The word 'pe-rai-ko-ra-i-ja' has the cognate 'περαιαιχωραιαι', which suggests it is a toponym (place name). The ending '-a-i-ja' corresponds to the thematic inflection in -a, specifically the plural form. The lexicon entries also support this classification as a place name."
pe-rai-qo,2,0,0,0.95,περαιβοι,"The word 'pe-rai-qo' has the cognate 'περαιβοι', which refers to the 'Peraebi', an ancient Greek tribe. Therefore, 'pe-rai-qo' is classified as an ethnonym (word_type = 4). The ending '-o' suggests it is a thematic noun in -o (inflection = 0). It is a noun (part_of_speech = 0)."
pe-re,3,1,-1,0.95,φερειν|φερει,"The word 'pe-re' has the Greek cognates 'φερειν' and 'φερει'. 'φερειν' is the infinitive form of the verb 'to carry/bring', and 'φερει' is the 3rd person singular present active indicative form of the same verb. The Linear B word 'pe-re' likely corresponds to the 3rd person singular form, indicated by the final -e. Therefore, it is classified as a common word (5), a verb (1), and inflection is not applicable (-1) for verbs."
pe-re-*82,0,0,2,0.95,πρεσφα,"The word 'pe-re-*82' has the Greek cognate πρεσφα. The lexicon entries suggest it's a theonym (goddess' name) or related to a shrine. The ending '*82' likely represents a sound like /qu/ based on the lexicon entry. Given the cognate and the dative-locative interpretation, it's likely an athematic noun in the dative case, similar to 'di-we' (Zeus, dative). Therefore, I classify it as a theonym (word_type=2), a noun (part_of_speech=0), and athematic (inflection=2)."
pe-re-*82-jo,1,0,0,0.9,πρεσφαιον,"The word 'pe-re-*82-jo' has the cognate 'πρεσφαιον', which refers to a sanctuary dedicated to 'Presfa'. This indicates it's a toponym (place name). The ending '-jo' suggests a thematic noun in -o, likely a genitive form."
pe-re-ke-u,0,0,2,0.9,πελεκευς,"The word 'pe-re-ke-u' has the cognate 'πελεκευς' (pelekys), meaning 'axe-man' or 'hewer'. This suggests it is an occupational term, and therefore an anthroponym (person name). The ending '-u' indicates an athematic noun."
pe-re-ke-we,0,0,2,0.9,πελεκfεις|πελεκευς,"The word 'pe-re-ke-we' has cognates 'πελεκεις/πελεκευς' (axe-man/hewer). The lexicon entry 'hewer (πέλεκυς= axe)' confirms this. The ending '-we' corresponds to the athematic inflection, as the cognates end in -ευς/-εις. Therefore, it is classified as an anthroponym (person name), a noun, and athematic."
pe-re-ku-ta,3,0,2,0.9,πρεσβυς,"The word 'pe-re-ku-ta' has the cognate 'πρεσβυς' (presbys), meaning 'senior'. This suggests it is a common noun. The ending '-ta' does not fit the thematic declensions in -o or -a. Therefore, it is likely an athematic noun. The ancient greek cognate πρεσβυς is an athematic noun."
pe-re-qo-ta,0,0,0,0.95,πρεσποτας,"The word 'pe-re-qo-ta' has the Greek cognate 'πρεσποτας', which suggests it is an anthroponym (personal name). The ending '-ta' suggests a thematic noun in -a, but the cognate ends in -as, which is a thematic noun in -o. The lexicon also suggests it is a personal name. Therefore, it is classified as an anthroponym (word_type = 0), a noun (part_of_speech = 0), and thematic in -o (inflection = 0) because the cognate is πρεσποτας."
pe-re-qo-ta-o,0,0,0,0.95,πρεσποτας,"The word 'pe-re-qo-ta-o' has the cognate 'πρεσποτας', which means 'master' or 'lord'. The lexicon entry confirms it is a personal name. The ending '-o' suggests a thematic noun in -o, likely a genitive singular form. Therefore, it is classified as an anthroponym (personal name), a noun, and thematic in -o."
pe-re-u-ro-ni-jo,2,0,0,0.95,πλευρωνιος,"The word 'pe-re-u-ro-ni-jo' has the Greek cognate 'πλευρωνιος', which is an ethnic name related to 'Pleuron'. The Linear B word likely represents a similar ethnonym. The ending '-jo' suggests a thematic noun in -o."
pe-ri,3,3,-1,0.95,περι,"The word 'pe-ri' has the Greek cognate 'περι', which means 'about/of'. This indicates that 'pe-ri' is an adverb. Since it's an adverb, the inflection is not applicable."
pe-ri-me-de,0,0,2,0.95,περιμηδης,"The word 'pe-ri-me-de' has the cognate 'περιμηδης', which is an anthroponym (person name). The Linear B word is therefore classified as an anthroponym. The ending '-de' does not correspond to any thematic inflection. The cognate 'περιμηδης' is an athematic noun, so 'pe-ri-me-de' is classified as an athematic noun (inflection 2)."
pe-ri-me-de-o,0,0,0,0.9,περιμηδης,"The word 'pe-ri-me-de-o' has the cognate 'περιμηδης', which is a personal name (anthroponym). The Linear B word ends in '-o', suggesting a thematic noun in -o."
pe-ri-mo,0,0,0,0.9,περιμηδης,"The word 'pe-ri-mo' has the Greek cognate 'περιμηδης', which is a personal name. The lexicon entries also indicate that 'pe-ri-mo' is a shortened or hypocoristic form of 'pe-ri-me-de', further supporting its classification as an anthroponym. The ending '-o' suggests a thematic noun in -o."
pe-ri-ra-wo,0,0,0,0.95,περιλαfος,"The word 'pe-ri-ra-wo' has the cognate 'περιλαfος', which Chadwick & Ventris identify as an anthroponym (person name) Περίλαος. The Linear B word ends in '-wo', corresponding to the thematic -o ending, indicating a thematic noun in -o."
pe-ri-ta,0,0,1,0.95,πελιτας,"The word 'pe-ri-ta' has the Greek cognate 'πελιτας', which is a personal name. The Linear B word ends in '-ta', corresponding to the thematic -a declension, making it a thematic noun in -a."
pe-ri-te-u,0,0,2,0.9,περιτευς,"The word 'pe-ri-te-u' has the Greek cognate 'περιτευς', which is a personal name. The Linear B word ends in '-u', which suggests an athematic inflection. Therefore, it is classified as an anthroponym (personal name), a noun, and athematic."
pe-ri-to,0,0,0,0.95,πειριθος,"The word 'pe-ri-to' has the Greek cognate 'πειριθος'. The lexicon entries also suggest it's an anthroponym, a shortened form of 'pe-ri-to-wo'. The ending '-to' suggests a thematic noun in -o."
pe-ri-to-wo,0,0,0,0.95,περιθοfος,"The word 'pe-ri-to-wo' has the cognate 'Πειρίθοος', which is a personal name (anthroponym). The Linear B word ends in '-wo', corresponding to the thematic -o ending, indicating a thematic noun in -o."
pe-ro,0,0,0,0.9,πελλων|φελλος,"The word 'pe-ro' has Greek cognates 'πελλων' and 'φελλος', which are anthroponyms (person names). The Linear B word ends in '-o', suggesting a thematic noun in -o. Therefore, it is classified as an anthroponym, a noun, and thematic in -o."
pe-ro-ro,3,0,0,0.9,πρωρα,"The word 'pe-ro-ro' has the cognate 'πρωρα' (prora), which means 'prow' (of a ship). The Linear B word ends in '-ro', which corresponds to the thematic -o ending for nouns. Therefore, it's a common noun with thematic inflection in -o."
pe-ru-si-nu,3,2,0,0.9,περυσινος,"The word 'pe-ru-si-nu' has the cognate 'περυσινος', which means 'of last year'. This indicates that it is an adjective. The ending '-nu' corresponds to the '-νος' ending in the cognate, which is a thematic adjective in -o. Therefore, the word is classified as a common adjective with thematic inflection in -o."
pe-ru-si-nu-wa,3,2,0,0.95,περυσινfα|περυσινα|περυσινο|περυσινυfο,"The word 'pe-ru-si-nu-wa' has cognates like 'περυσινfα', 'περυσινα', 'περυσινυfο', and 'περυσινο', meaning 'of last year'. This indicates it's an adjective. The ending '-wa' corresponds to the thematic inflection in -o (neuter plural or singular accusative) or -a (feminine singular nominative/accusative/vocative or neuter plural nominative/accusative/vocative). Given the meaning 'of last year', it is likely an adjective in the neuter plural or feminine singular. Since the thematic adjectives have the same behavior as thematic nouns, we can classify it as thematic in -o."
pe-ru-si-nu-wo,3,2,0,0.95,περυσινfοι|περυσινυfο,"The word 'pe-ru-si-nu-wo' has cognates 'περυσινfοι' and 'περυσινυfο', which relate to 'last year'. This suggests it's an adjective describing something related to the previous year. The ending '-wo' aligns with the thematic -o inflection pattern for adjectives, similar to thematic nouns. Therefore, it's classified as a common adjective with thematic inflection in -o."
pe-ru-si-nwa,3,2,1,0.95,περυσινfα,"The word 'pe-ru-si-nwa' has the Greek cognate 'περυσινfα', which suggests it is an adjective meaning 'of last year'. The ending '-nwa' corresponds to the '-α' ending in the cognate, indicating a thematic adjective in -a. Therefore, it is classified as a common word (5), adjective (2), and thematic in -a (1)."
pe-ru-si-nwa-o,3,2,0,0.95,περυσινfοι|περυσινfα,"The word 'pe-ru-si-nwa-o' has cognates 'περυσινfοι' and 'περυσινfα', meaning 'of last year'. This indicates it's an adjective describing something related to the previous year. The ending '-o' suggests a thematic adjective in -o, similar to thematic nouns. The cognates confirm that it is an adjective and the ending is consistent with a thematic inflection."
pe-se-ro,0,0,0,0.95,ψελλος,"The word 'pe-se-ro' has the Greek cognate 'ψελλος', which means 'stammerer'. This suggests that 'pe-se-ro' is an anthroponym (person name). The ending '-o' indicates that it is a thematic noun in -o."
pe-ta-ro,0,0,0,0.9,πεταλος,"The word 'pe-ta-ro' has the cognate 'πεταλος', which means 'petal'. The lexicon entry indicates it's a personal name. The ending '-ro' corresponds to the thematic -o ending, suggesting it's a thematic noun in -o. Therefore, it's classified as an anthroponym (personal name), a noun, and thematic in -o."
pe-te-re-wa,3,0,1,0.95,πτελεfας|πτελεα,"The word 'pe-te-re-wa' has the Greek cognates 'πτελεfας/πτελεα', meaning 'elm tree' or 'made of elm wood'. The Linear B word likely refers to something made of elm wood. The ending '-wa' suggests a thematic noun in -a, aligning with the Greek cognate πτελεα. Therefore, it's classified as a common noun, thematic in -a."
pe-to-ni-jo,2,0,0,0.95,πετνιος|πετονιος,"The word 'pe-to-ni-jo' has Greek cognates 'πετνιος' and 'πετονιος', which are ethnic names. The lexicon entry confirms this. The ending '-jo' suggests a thematic noun in -o, likely a masculine singular nominative or vocative form. Therefore, it is classified as an ethnonym (word_type = 4), a noun (part_of_speech = 0), and thematic in -o (inflection = 0)."
pe-to-no,1,0,0,0.95,πετνος|πετονος,The word 'pe-to-no' has cognates 'πετνος' and 'πετονος'. The lexicon entries indicate it's a toponym (place name). The ending '-o' suggests it's a thematic noun in -o.
pe-to-no-de,1,0,0,0.9,πετονος|πετνος,The word 'pe-to-no-de' is identified as a toponym (place name) based on the lexicon entry. The suffix '-de' is ignored as it is an allative/demonstrative suffix. The remaining part 'pe-to-no' has cognates 'πετονος/πετνος'. The ending '-o' suggests a thematic noun in -o.
pe-za,3,0,1,0.9,πεζα,"The word 'pe-za' has the Greek cognate 'πεζα', which means 'on foot' or 'infantry'. This suggests it's a common noun. The ending '-a' indicates that it is a thematic noun in -a."
phu-ke,0,0,2,0.9,φυγη|φυγης,"The word 'phu-ke' has the Greek cognates 'φυγη' and 'φυγης'. These cognates suggest a connection to the concept of 'flight' or 'escape'. The lexicon entries also suggest it's a personal name. The ending '-ke' doesn't directly correspond to a standard thematic inflection. However, considering the cognates and the lexicon entries, it's more likely an athematic noun used as an anthroponym. The cognate φυγη (flight) is an athematic noun. Therefore, I classify it as an anthroponym (word_type = 0), a noun (part_of_speech = 0), and athematic (inflection = 2)."
phu-ke-qi-ri,0,0,2,0.9,φυγεκλης,"The word 'phu-ke-qi-ri' has the cognate 'φυγεκλης', which is a personal name. The Linear B word likely represents a similar anthroponym. The ending '-ri' suggests an athematic inflection, as it doesn't fit the thematic -o or -a patterns. The cognate φυγεκλης is an athematic noun."
phu-ru-da-ro,0,0,0,0.9,φλυδαρος,"The word 'phu-ru-da-ro' has the cognate 'φλυδαρος' (phlydaros), which means 'talkative' or 'garrulous'. Chadwick & Ventris identify it as an anthroponym. The ending '-ro' suggests a thematic noun in -o."
phu-rya-a-ke-re-u,1,0,1,0.9,φυλιαςαγρευς|φυλιασαγρευς,"The word 'phu-rya-a-ke-re-u' has cognates 'φυλιαςαγρευς' and 'φυλιασαγρευς'. The lexicon entries suggest it's a place name related to 'wild olive'. The ending '-a' suggests a thematic noun in -a. Therefore, it's classified as a toponym (place name), a noun, and thematic in -a."
phu-rya-a-ki-ri-jo,1,0,2,0.9,φυλιασαγρευς,"The word 'phu-rya-a-ki-ri-jo' has the cognate 'φυλιασαγρευς'. According to Tselentis, φυλία means 'wild olive', suggesting a place name. The ending '-jo' corresponds to the genitive form of athematic nouns. Therefore, it is classified as a toponym (place name), a noun, and athematic."
phu-si-ja-ko,0,0,0,0.9,φυσιαρχος,"The word 'phu-si-ja-ko' has the Greek cognate 'φυσιαρχος' (physiarchos), which means 'ruler of nature' or 'one who governs natural things'. This suggests that 'phu-si-ja-ko' is likely an anthroponym (person name). The ending '-ko' suggests a thematic noun in -o."
phu-te,0,0,2,0.9,φυτερ|φυτευτης,"The word 'phu-te' has the Greek cognates 'φυτερ' and 'φυτευτης', both meaning 'planter'. This indicates it's a noun referring to a person (anthroponym). The ending '-e' suggests an athematic inflection, as thematic nouns in -o would end in -o and thematic nouns in -a would end in -a. The cognates 'φυτερ' and 'φυτευτης' are athematic nouns."
phu-te-re,0,0,2,0.9,φυτερες|φυτευτης,"The word 'phu-te-re' has the Greek cognates φυτερες and φυτευτης, both related to 'planter'. The ending '-re' suggests a possible athematic inflection, and given the cognates, it is likely an anthroponym (person name) referring to a planter. The cognate φυτευτης is athematic, so we classify the inflection as 2 (athematic)."
phu-te-ri-ja,3,0,1,0.9,φυτερια,"The word 'phu-te-ri-ja' has the Greek cognate 'φυτερια', which means 'planted, cultivated plots'. The Linear B word likely represents a similar concept. The ending '-ja' corresponds to the thematic -a declension, making it a noun. Therefore, it is classified as a common noun with thematic inflection in -a."
phu-ti-ja,0,0,1,0.9,φυτια,"The word 'phu-ti-ja' has the Greek cognate 'φυτια'. Chadwick & Ventris identify it as an anthroponym, specifically a hypocoristic form derived from names ending in -φυτος. The -ja ending corresponds to the thematic -a declension, making it a noun of inflection class 1."
phu-to,0,0,0,0.9,φυτος,"The word 'phu-to' has the Greek cognate 'φυτος' (phutos). Chadwick & Ventris suggest it's an anthroponym in the dative case, possibly related to Πύθος. The -o ending suggests a thematic noun in -o. Therefore, it's classified as an anthroponym (person name), a noun, and thematic in -o."
pi-*82,1,0,1,0.9,πισφα|πισσια,"The word 'pi-*82' has cognates 'πισφα' and 'πισσια'. The lexicon entries suggest it's a toponym (place name), specifically related to Pisa. Given the cognates and the lexicon, it's likely a noun. The ending suggests a thematic noun in -a, as 'πισσια' ends in -α."
pi-ha-ra,3,0,1,0.95,φιhαλαι|φιαλη|φιελαιαι|φιhαλη,"The word 'pi-ha-ra' has cognates like 'φιhαλαι', 'φιαλη', 'φιελαιαι', 'φιhαλη', all referring to a kind of pot or bowl. The lexicon confirms this meaning. The ending '-ra' suggests a thematic noun in -a, aligning with the cognates' morphology. Therefore, it's a common noun, thematic in -a."
pi-je-rai,3,0,1,0.95,φιαλαι|φιαλη,"The word 'pi-je-rai' has the cognates 'φιαλαι' (plural) and 'φιαλη' (singular), meaning 'bowls' or 'vessels'. This indicates it's a common noun. The ending '-rai' corresponds to the thematic declension in -a, specifically the plural form. Therefore, it's a thematic noun in -a."
pi-ke-re-u,0,0,2,0.95,πικερευς,"The word 'pi-ke-re-u' has the Greek cognate 'πικερευς', which is a personal name. The lexicon entries also confirm it as an anthroponym. The ending '-u' corresponds to the athematic declension, as seen in other examples like 'a-ke-re-u' (agreus) and 'ka-ke-u' (khalkeus)."
pi-ke-re-we,0,0,2,0.9,πικερευς,"The word 'pi-ke-re-we' has the cognate 'πικερευς', which is a personal name. The ending '-we' corresponds to the athematic declension, specifically the dative case ending '-e/-i' or the nominative/accusative plural '-e'. Given the lexicon entry 'personal name', it is most likely a personal name in the dative case or nominative/accusative plural. Therefore, it is classified as an anthroponym (word_type = 0), a noun (part_of_speech = 0), and athematic (inflection = 2)."
pi-ke-re-wo,0,0,2,0.9,πικερευς,"The word 'pi-ke-re-wo' has the Greek cognate 'πικερευς', which is a personal name. The Linear B word likely represents a form of this name. The ending '-wo' does not directly correspond to any of the thematic noun endings (-o, -a). However, the cognate 'πικερευς' suggests an athematic noun declension, where the nominative singular can vary. Therefore, I classify it as an anthroponym (personal name), a noun, and athematic."
pi-pi,0,0,2,0.9,πιπης,"The word 'pi-pi' has the cognate 'πιπης', which is a personal name. The lexicon also indicates it's a personal name. The ending doesn't clearly match thematic -o or -a declensions. Given the cognate and lexicon information, it's most likely an anthroponym. The ending suggests an athematic declension, as it doesn't fit the typical -o or -a endings. Therefore, it's classified as an athematic noun (inflection = 2)."
pi-ra-ka-ra,0,0,1,0.95,φιλαγρα,"The word 'pi-ra-ka-ra' has the Greek cognate 'φιλαγρα', which Chadwick and Ventris identify as an anthroponym (person name) similar to Φίλαγρος. The ending '-ra' suggests a thematic noun in -a, aligning with the first declension pattern."
pi-ra-me-no,0,0,0,0.95,φιλαμενος,"The word 'pi-ra-me-no' has the cognate 'φιλαμενος', which is a personal name (anthroponym). The Linear B word ends in '-no', corresponding to the '-ος' ending of the Greek cognate, indicating a thematic noun in -o."
pi-re-ta,0,0,1,0.9,φρητρα,"The word 'pi-re-ta' has the cognate 'φρητρα' (phrētra). This suggests it is a noun. The ending '-ta' corresponds to the '-a' ending in the declension table for thematic nouns in -a. 'φρητρα' refers to a brotherhood or clan, which can be associated with a person or group of people, thus classifying it as an anthroponym."
pi-ri-e-te-si,3,0,2,0.85,πριετεσι,"The word 'pi-ri-e-te-si' has the Greek cognate 'πριετεσι'. The lexicon entry suggests 'ivory worker' (πρίω= to saw). The ending '-si' suggests a plural form. Given the cognate and the lexicon, it's likely a common noun referring to a type of worker. The ending -si is consistent with the athematic plural dative/locative case. Therefore, it is classified as a common noun, athematic inflection."
pi-ri-ja-o,3,0,0,0.9,φλιαι|φλιαιων,"The word 'pi-ri-ja-o' has cognates 'φλιαι' and 'φλιαιων', which refer to 'lintel' or 'doorposts'. The Linear B word likely represents a form of this word. The ending '-o' suggests a thematic noun in -o. Therefore, it is classified as a common noun with thematic inflection in -o."
pi-ri-je-te,3,0,2,0.9,πριετερ|πριετερες|πριετεσι|πριετηρ,"The word 'pi-ri-je-te' is likely a common noun meaning 'ivory worker'. The cognates 'πριετερ', 'πριετερες', 'πριετεσι', 'πριετηρ' suggest an athematic inflection. The ending '-te' is ignored as it is an ablative suffix. The root 'pi-ri-je' corresponds to the Greek root related to sawing (πρίω), which aligns with the meaning of 'ivory worker'. The athematic inflection is chosen because the cognates suggest a noun ending in -ηρ, -ερ, -ες, -σι, which are typical of athematic nouns."
pi-ri-je-te-re,3,0,2,0.85,πριετερες,"The word 'pi-ri-je-te-re' has the cognate 'πριετερες', which means 'ivory workers'. The lexicon entry also suggests 'ivory worker'. The ending '-e' suggests an athematic plural nominative/accusative form. Therefore, it is classified as a common noun, athematic."
pi-ri-no,0,0,0,0.95,φιλινος,"The word 'pi-ri-no' has the Greek cognate 'φιλινος', which is a personal name (anthroponym). The Linear B word ends in '-o', suggesting a thematic noun in -o."
pi-ri-te,3,0,2,0.9,πριστηρ,"The word 'pi-ri-te' has the Greek cognate 'πριστηρ' (pristēr), meaning 'saw'. This suggests it's a common noun. The ending '-te' doesn't directly correspond to any thematic inflection. However, the cognate 'πριστηρ' is an athematic noun. Therefore, 'pi-ri-te' is classified as a common noun with athematic inflection."
pi-ri-to-jo,0,0,0,0.95,φιλιστος,"The word 'pi-ri-to-jo' has the Greek cognate 'φιλιστος'. The lexicon entry suggests it's an anthroponym in the genitive case. The ending '-jo' corresponds to the thematic genitive singular ending '-ojo' in the declension table, indicating a thematic noun in -o. Therefore, it's classified as an anthroponym (word_type = 0), a noun (part_of_speech = 0), and thematic in -o (inflection = 0)."
pi-ro-na,3,0,2,0.85,πρων,"The word 'pi-ro-na' has the cognate 'πρων', which means 'promontory, headland'. This suggests that 'pi-ro-na' is a common noun. The ending '-na' does not fit the thematic declensions in -o or -a. Therefore, it is likely an athematic noun. The ancient greek cognate is an athematic noun."
pi-ro-we-ko,0,0,2,0.9,φιλοfεργος,"The word 'pi-ro-we-ko' has the cognate 'φιλοfεργος'. The lexicon entry indicates it's a personal name. The ending '-ko' suggests an athematic inflection, as thematic nouns typically end in '-o' or '-a'. The cognate is an adjective, but the Linear B word is used as a personal name, so it is a noun. The ancient greek cognate is an adjective, but the linear B word is a personal name, so it is a noun. The ending -ko is not a standard thematic ending, so it is athematic."
pi-sa-wa-ta,0,0,1,0.95,πισfατας,"The word 'pi-sa-wa-ta' has the cognate 'πισfατας', which suggests it is an anthroponym (personal name). The ending '-a' suggests that it is a thematic noun in -a."
pi-ta-ke-u,0,0,2,0.9,πιτακευς,"The word 'pi-ta-ke-u' has the Greek cognate 'πιτακευς' (pitakeus). The lexicon entries also indicate it's a personal name (anthroponym). The ending '-u' suggests an athematic noun inflection, similar to 'a-ke-re-u' (agreus) and 'ka-ke-u' (khalkeus)."
pi-ti-ryo-we-sa,3,2,1,0.9,πτιλιοfεσσα|πτιλον,"The word 'pi-ti-ryo-we-sa' has cognates 'πτιλιοfεσσα' and 'πτιλον', suggesting a connection to feathers or being furnished with feathers. The ending '-sa' suggests a feminine adjective form, similar to thematic nouns in -a. Therefore, it is classified as a common adjective with thematic inflection in -a."
po-da,3,0,2,0.9,ποδα|πους|σπονδη,"The word 'po-da' has cognates 'ποδα', 'πους', and 'σπονδη'. 'πους' means 'foot' and 'σπονδη' means 'libation'. Given the lexicon entry 'libation', and the cognate 'σπονδη', it is likely a common noun. The ending '-da' does not directly correspond to a thematic inflection. However, considering the cognate 'σπονδη', which is an athematic noun, and the fact that Linear B is syllabic, the '-da' could be a syllabic representation of an athematic noun ending. Therefore, I classify it as athematic."
po-da-ko,0,0,0,0.9,ποδαργος,"The word 'po-da-ko' has the Greek cognate 'ποδαργος', which means 'swift-footed' and is used as an epithet for animals, particularly oxen and horses. The Linear B word likely refers to an animal name. The ending '-o' suggests a thematic noun in -o."
po-da-ko-qe,0,2,0,0.9,ποδαργος,"The word 'po-da-ko-qe' has the cognate 'ποδαργος', which means 'swift-footed'. Removing the suffix '-qe', we have 'po-da-ko', which corresponds to the adjective 'ποδαργος'. Adjectives follow the same inflection patterns as nouns. The ending '-o' suggests a thematic inflection in -o. Therefore, it is classified as an adjective with thematic inflection in -o. It is an anthroponym because it describes a characteristic of a person."
po-de,3,0,2,0.9,ποδει|πους|ποφι,"The word 'po-de' has cognates ποδει, πους, ποφι. The cognates suggest a connection to 'foot' or 'with feet'. The ending '-de' is not a suffix to ignore. The cognates 'πους' (pous) is an athematic noun meaning 'foot'. The Linear B word 'po-de' likely represents a dative form (ποδει) or a locative form, indicating 'at the foot' or 'with the feet'. Therefore, it is classified as a common noun with athematic inflection."
po-i-ti-jo,0,0,0,0.95,φοιτευς,"The word 'po-i-ti-jo' has the Greek cognate 'φοιτευς'. The lexicon entry 'Chadwick & Ventris 1973: anthroponym' confirms that it is an anthroponym. The ending '-jo' suggests a thematic noun in -o, likely a genitive or dative singular form, or a nominative/accusative form. Given the cognate φοιτευς, it is likely a derivative of a personal name, hence anthroponym. The -o ending suggests a thematic noun in -o."
po-ka,3,0,1,0.95,ποκος,"The word 'po-ka' has the Greek cognate 'ποκος', which means 'fleeces'. The Linear B word likely represents a plural form of the noun, and the ending '-ka' suggests a thematic noun in -a (plural nominative/accusative). Therefore, it is classified as a common noun with inflection class 1."
po-ke-we,0,0,2,0.95,φωκευς,"The word 'po-ke-we' has the cognate 'φωκευς' (phokeus), which means 'Phocian' or 'seal hunter'. Chadwick & Ventris identify it as an anthroponym in the dative case. The ending '-we' corresponds to the athematic dative singular ending '-e/-i' (the 'w' is just a consonant that can be part of the syllable). Therefore, it's an anthroponym (person name), a noun, and athematic."
po-ki-ro,3,2,0,0.95,ποικιλος,"The word 'po-ki-ro' has the Greek cognate 'ποικιλος' (poikilos), which means 'variegated, dappled, intricate'. This is an adjective, and the ending '-o' suggests a thematic adjective in -o."
po-ki-ro-nu-ka,3,2,0,0.9,ποικιλονυχα|ποικιλωνυχα,"The word 'po-ki-ro-nu-ka' has cognates 'ποικιλονυχα' and 'ποικιλωνυχα', which mean 'with varied nails'. This suggests it is an adjective describing something with varied nails. The ending '-ka' can be interpreted as a thematic adjective ending in -o (neuter plural) or -a (feminine singular). Given the meaning and the cognates, it is most likely an adjective. Therefore, part_of_speech is 2 (adjective) and inflection is 0 (thematic in -o, considering it could be a neuter plural form). Word type is 5 (common)."
po-ku-ta,0,0,0,0.9,ποκυτης,"The word 'po-ku-ta' has the Greek cognate 'ποκυτης'. The lexicon entries suggest it's an occupational term or related to livestock breeding. Given the cognate and the -ta ending, it's likely a noun referring to a person (anthroponym). The -ta ending suggests a thematic noun in -o (masculine form), as the cognate ends in -της, which corresponds to the thematic -o declension in Mycenaean Greek."
po-ku-te-ro,3,2,0,0.95,ποκυτερος,"The word 'po-ku-te-ro' has the cognate 'ποκυτερος', which suggests it is an adjective. The ending '-o' indicates a thematic adjective in -o. The lexicon entry also supports this classification, stating it's an adjective related to 'po-ku-ta'."
po-me,3,0,2,0.95,ποιμενει|ποιμενος|ποιμην,"The word 'po-me' translates to 'shepherd'. The cognates ποιμενει, ποιμενος, and ποιμην suggest that it is related to the word for shepherd. The Linear B word 'po-me' likely corresponds to the nominative singular form of the athematic noun 'ποιμην' (shepherd). The ending '-e' is consistent with the athematic declension, as seen in examples like 'di-we' (Zeus, dative). The cognates also confirm that the word is a common noun and athematic."
po-me-ne,3,0,2,0.95,ποιμην|ποιμενει,"The word 'po-me-ne' has the cognates 'ποιμην' and 'ποιμενει', both related to 'shepherd'. The Linear B word likely represents a form of the noun 'shepherd'. The ending '-ne' suggests an athematic inflection, as thematic nouns typically end in -o or -a in the nominative singular. The cognate ποιμην (nominative) and ποιμενει (dative) confirm that it is an athematic noun. Therefore, it is classified as a common noun with athematic inflection."
po-me-no,3,0,0,0.95,ποιμενος,"The word 'po-me-no' has the cognate 'ποιμενος' (poimenos), meaning 'shepherd'. This is a common noun. The Linear B word ends in '-o', suggesting a thematic noun in -o, and the cognate confirms this is a noun. The genitive of the cognate is ποιμενος, which is athematic, but the Linear B word is likely the nominative form, which is thematic."
po-ni-ke,3,2,0,0.9,φοινικει,"The word 'po-ni-ke' has the cognate 'φοινικει', which suggests it is an adjective related to 'phoenix' or 'palm tree'. The lexicon entry 'decorated with a griffin or palm trees' further supports this. The ending '-ke' can be interpreted as a thematic adjective ending in -o (masculine/neuter nominative singular) or -oi (masculine nominative plural) if we consider that the syllabic script may not represent all consonants. Therefore, it's classified as a common adjective with thematic inflection in -o."
po-ni-ke-a,3,0,1,0.9,φοινικια,"The word 'po-ni-ke-a' has the cognate 'φοινικια', which suggests it is a common noun. The ending '-a' indicates that it is a thematic noun in -a."
po-ni-ke-ja,3,0,1,0.9,φοινικια|φοινικιος,"The word 'po-ni-ke-ja' has cognates 'φοινικια' and 'φοινικιος'. 'φοινικια' can be a feminine noun or a neuter plural noun, while 'φοινικιος' is masculine. The lexicon entries suggest 'cnmson'. The ending '-ja' corresponds to the thematic inflection in -a, and given the cognates, it is likely a common noun (or adjective used as a noun). Therefore, it is classified as a common noun with thematic inflection in -a."
po-ni-ke-qe,3,0,2,0.9,φοινιξ,"The word is 'po-ni-ke-qe'. Removing the suffix '-qe', we have 'po-ni-ke'. The cognate is 'φοινιξ' (phoenix). This is a common noun referring to the phoenix bird. The ending '-ke' suggests an athematic inflection, as it doesn't fit the thematic -o or -a patterns. The ancient greek cognate φοινιξ is an athematic noun."
po-ni-ki-ja,3,0,1,0.9,φοινικια,"The word 'po-ni-ki-ja' has the cognate 'φοινικια', which means 'crimson'. The Linear B word likely refers to something crimson or purple. The ending '-ja' corresponds to the thematic -a declension, making it a noun. Therefore, it is a common noun with thematic inflection in -a."
po-ni-ki-jo,3,2,0,0.9,φοινικιος,"The word 'po-ni-ki-jo' has the cognate 'φοινικιος', which means 'crimson' or 'purple' and is an adjective. The Linear B word ends in '-jo', corresponding to the thematic -o ending, indicating a thematic adjective in -o."
